Luna_星,8.0,2019-1-18 19:29:53,算不上五月天的死忠粉，听过的歌也是比较热门那几首，不过始终还是有好感的。演唱会是有主题的，也有巡回不同场次的画面，故事贯穿的不错，对世界的思考也是好的，这应该是好的艺人的姿态和态度。会场的气氛和场景也是好棒的！客串也不少。
-IHI-,6.6,2017-2-9 11:06:47,H---《3501》
-IHI-,6.6,2017-2-9 11:05:36,H---《3501》
tycoon,9.8,2015-9-4 0:10:51,电影院里的演唱会。还有还会去。
VK博,8.0,2015-8-17 16:07:26,不是五月天的歌迷，没资格评价，最后突然好想你或许和我最近的生活有感触，最后心情被音乐影响了
尊漠,8.2,2015-3-3 12:15:24,喜欢五月天的歌，然而不是狂热粉丝
雷特曼,10,2015-1-23 19:03:15,很不错的电影
请别评论,6.1,2014-12-7 10:35:09,就是个演唱会，如果加入一些台前幕后的小故事，小花絮会精彩些。
萧萧凯风,8.0,2014-11-23 10:10:49,我是来刷分的！
David_VIP,5.0,2014-11-12 21:41:03,【五月天诺亚方舟】五月天再次带给我们全新的小理念 音乐和电影的激情合作并创作 这一次导演也进行更换了 上一部追梦是故事多 这一次诺亚方舟演唱汇集全场 五月天的音乐想法非常的全面 他们会把观众的心情调整到最佳状态 言承旭和林依晨作为客串还是比较腼腆的 作为整体3D音乐剧来讲本片的整体音乐效果已经是比较豪华和现代化的了 很不错 阿信你很棒 我相信你会带领你的五月天走向另一个高点去创造另一个辉煌 
苗乐乐MiuMiu,5.0,2014-9-27 22:24:05,五月天是个卖信仰的乐团。。。
超级天后,5.0,2014-3-5 19:17:23,其实就是听听歌，我个人对乐队歌曲还是比较喜欢的，以前最爱的乐队是beyond，现在觉得五月天还是可以的。
yamabird,9.0,2014-2-13 13:51:22,可惜CON开到家门口时略晚，没有收录上啊~~~
超级自恋狂,10,2014-2-9 17:17:30,懂的不说话
家庭娱乐,0.1,2014-2-5 17:45:45,捞钱天团！
在路上Mtimer,9.1,2013-11-15 23:32:16,金逸电影院 基本是包场 一个人哈 哈哈哈
这年头感情全是走私货,0.1,2013-11-14 15:06:18,死逼们。。
Luna_星,8.0,2019-1-18 19:29:53,算不上五月天的死忠粉，听过的歌也是比较热门那几首，不过始终还是有好感的。演唱会是有主题的，也有巡回不同场次的画面，故事贯穿的不错，对世界的思考也是好的，这应该是好的艺人的姿态和态度。会场的气氛和场景也是好棒的！客串也不少。
-IHI-,6.6,2017-2-9 11:06:47,H---《3501》
-IHI-,6.6,2017-2-9 11:05:36,H---《3501》
tycoon,9.8,2015-9-4 0:10:51,电影院里的演唱会。还有还会去。
VK博,8.0,2015-8-17 16:07:26,不是五月天的歌迷，没资格评价，最后突然好想你或许和我最近的生活有感触，最后心情被音乐影响了
尊漠,8.2,2015-3-3 12:15:24,喜欢五月天的歌，然而不是狂热粉丝
雷特曼,10,2015-1-23 19:03:15,很不错的电影
请别评论,6.1,2014-12-7 10:35:09,就是个演唱会，如果加入一些台前幕后的小故事，小花絮会精彩些。
萧萧凯风,8.0,2014-11-23 10:10:49,我是来刷分的！
David_VIP,5.0,2014-11-12 21:41:03,【五月天诺亚方舟】五月天再次带给我们全新的小理念 音乐和电影的激情合作并创作 这一次导演也进行更换了 上一部追梦是故事多 这一次诺亚方舟演唱汇集全场 五月天的音乐想法非常的全面 他们会把观众的心情调整到最佳状态 言承旭和林依晨作为客串还是比较腼腆的 作为整体3D音乐剧来讲本片的整体音乐效果已经是比较豪华和现代化的了 很不错 阿信你很棒 我相信你会带领你的五月天走向另一个高点去创造另一个辉煌 
苗乐乐MiuMiu,5.0,2014-9-27 22:24:05,五月天是个卖信仰的乐团。。。
超级天后,5.0,2014-3-5 19:17:23,其实就是听听歌，我个人对乐队歌曲还是比较喜欢的，以前最爱的乐队是beyond，现在觉得五月天还是可以的。
yamabird,9.0,2014-2-13 13:51:22,可惜CON开到家门口时略晚，没有收录上啊~~~
超级自恋狂,10,2014-2-9 17:17:30,懂的不说话
家庭娱乐,0.1,2014-2-5 17:45:45,捞钱天团！
在路上Mtimer,9.1,2013-11-15 23:32:16,金逸电影院 基本是包场 一个人哈 哈哈哈
这年头感情全是走私货,0.1,2013-11-14 15:06:18,死逼们。。
安托万的黑眼睛,7.3,2013-11-10 19:03:29,为嘛把“五”搞成“5”？作为一个非五迷的影迷，会花时间看这样没剧情的一部演唱会电影，全因“爱屋及乌”，时光是有一个小五迷。PS分项打分，“故事”我打了1分，音乐打了10，尼玛，不行5.5分，好吧，妥协一次。
Nicole_Yin,7.5,2013-11-6 16:07:48,虽然是五迷，但是客观就一部电影来说，其实也就是还行。特写真的帅爆！
Leona_Jing,9.0,2013-10-31 23:14:19,没去过现场的，真的可以去看，非常好
白白1117,6.0,2013-10-27 20:31:56,纯是演唱会形式的，没意思。看着睡着了。感觉挺坑粉丝钱的！
南极黑熊,8.1,2013-10-21 22:44:59,看过演唱会的我不觉得有任何新意，因为这些情节就是演唱会的情节，3D效果也很一般，不过作为五迷也很值得激动了，我记得放星空那首曲子的时候我都大声合唱饱含泪花，零点首映大家摇晃荧光棒，太有气氛了！
M_1310150716170097311,10,2013-10-15 19:10:54,字幕君要不要这么坑阿==毁我五月天！！
J了个Q,9.0,2013-10-15 0:05:33,我觉得不错～但字幕组稍坑啊。说实话或许只对五迷来讲很棒，电影嘛…还是带来不少的正能量啦，不过它本来就是演唱会的精彩合集嘛，剧情什么的就不要强求了
M_1309222208457591175,10,2013-10-14 17:00:01,好想在看呀
二维,10,2013-10-13 21:21:23,不是五迷。只为祭奠。两年前的追梦dna到现在的诺亚方舟。真的很怀念。阿信在最后的时候说，希望他的歌一直陪着那些孤单的人，哭了很久。突然很想你，你会在哪里？
