夏目透,6.1,2018-9-5 16:48:20,storytelling糟糕，画面不错~
狂热信羽,8.0,2018-6-19 2:04:15,最后结局真不错。半夜看这个真有感觉
cavalry,7.0,2018-2-22 10:54:56,金城武量身打造……好多香港演员，日语很多，中文很差，新宿事件，歌舞伎町，山本未来身材好奇怪，穿衣服显得很瘦。在华遗孤二代返回日本，乱伦的悲剧，很符合日本人的重口味吧
黑衣钢铁侠,9.0,2017-9-23 22:37:04,忘不了很多角色，比如那个年轻的日本警察。
请别评论,7.4,2017-5-6 21:24:53,(我的评分：7.4分)：黑帮、歌舞伎町和巅峰颜值的金城武。
edoeg,7.8,2017-5-1 9:33:19,就像金城武一样 很独特
斗驴,8.0,2017-4-29 18:33:52,黑帮啥的我真搞不懂，记得2000年以前看过这部电影，当时记得只是为了看一看香艳的画面，根本没有理睬故事。想不到时隔10多年再重看，觉得还别有一番味道。金城武扎个马尾辫确实帅呆了，曾志伟的声音貌似是后配的。扮演崔虎的演员成为了人们津津乐道的话题。这部电影，也是李志毅高峰，难以逾越。不过也够了，一个导演，这辈子能拍出哪怕一部代表作也值了，就怕拍不出来，那就惨了。
贵久,6.8,2017-4-23 0:25:59,日本的中国黑帮 歌舞伎町的夜影阑珊 本是一个很有魅力的电影题材 但导演没有很好的取舍 每一个点都想说到 结果很多场戏都很草率 人物的决定也很突然 表达情绪基本靠嘴 实在是比较遗憾 虽然成功塑造了一对苦命鸳鸯 但这么深刻的爱却让我无法找到源头 人物虽然多 但BUG也很多 总的来说本片的美术非常棒 可能是最贴近影片主题的那一层 跑龙套的名导虽多 但总觉得跳戏
香蕉个八辣,9.0,2017-4-7 7:00:33,一部非典型性的黑帮片，但够酷！黑皮衣黑墨镜下的金城武真帅！
无诗自通,9.0,2017-3-11 10:54:25,一生，深爱过，燃烧灵魂和肉体，何求常留。
霸气豆,9.0,2017-3-6 6:24:39,好故事，好表演。没割双眼皮的金城武才是最帅的。
PAPA-徐,7.5,2016-11-21 22:29:35,"一个中国人是一条龙,三个中国人是一条虫"
