流沙枫,7.0,2017-7-11 22:24:38,为了李丽珍，看这片第二次了。。。没想到她现在己经年过半百！
小四6171,,2016-12-7 14:59:13,三分之一弃，许鞍华的政治之作，香港左派的故事。许鞍华的节奏还是偏慢啊！
filmman,8.8,2015-12-28 0:08:45,壮美的社会历史的记述，社会潮流下弱小人心的浮动和苦难。
斗驴,8.0,2015-10-9 22:53:47,李丽珍据说凭借此片获得了金马影后，看完后，倒是黄月球留给我的印象更加深刻，送别那场戏最甚，黄月球真是什么角色都能演，神父也能演，变态、杀人狂也能演，很好的一个演员。看的粤语版，无字幕，在某电影网站上简单地看了一下剧情梗概，就开始看了，还行，抛去政治部分的话。李康生很少在其他导演的电影里面看到啊。
大鑫,8.0,2015-1-22 15:53:01,曾经年少轻狂 曾经为爱受伤
綝缡,8.0,2014-9-30 23:30:32,不大了解香港历史，现在对政治什么的也并不太在意，好像早已经过了对《颐和园》充满探究欲的年纪。电影氛围很迷茫，我看得也有些心烦意乱，只有黄秋生弹唱着《国际歌》的样子是一道光。千言和万语，随浮云掠过。
SuperCat,8.0,2014-9-27 14:13:01,历史总是在沉默中爆发，反复......多么大的黑色幽默啊
自由彼岸,7.5,2014-9-24 14:56:55,许鞍华作为一个女性导演，却偏爱政治题材，实在让人很惊奇。我一直喜欢许鞍华的风格，不过对故事一点儿感觉也没有，总算知道为什么黄秋生是左派了。
可恨的哎哟,9.0,2014-7-15 11:06:06,香港的历史
Luna_星,7.0,2014-6-25 20:29:42,消化不了，没有集中注意力看，包含关于政治的话题理解无能，很多支离破碎的情节，也没有好好串联，唉，心不静所以看不进吧。 记得很伤感的曲子，破旧的房间，还有渔船。
崔斯嘉,8.4,2014-5-23 14:55:20,其實生活流才是最難拍的吧，但是這也是許鞍華最擅長的。看似淩亂但很生活的故事，和面對生活愁緒多多依舊前行的人們。黃秋生的神父，謝君豪的意願都很贊，複雜而飽滿，李麗珍應該更漂亮一點，小康很適合這種苦戀又付出的角色。導演掌控力一流，散碎的情節綜合成了千言萬語，說了她想說的話。缺憾是可能過於追求記錄感覺，部份鏡頭不夠。看到片尾，應該是有原型支持的，有原型拍的如此真，很難得。
百家影评,7.0,2014-2-14 12:07:19,李丽珍演技真的不错，无论演什么，表演很自然。可惜没得过香港金像奖影后
Harrydor,6.0,2013-12-26 10:24:36,一直期待在故事里面看到一些政治隐喻，可是隐喻没看到，故事里也没怎么看懂。同学硬拉着我看的这部戏，若非如此，我是不会主动挑选它的。
路过的蜻蜓,,2013-10-18 22:45:08,《千言万语》  某届的最佳影片 但貌似是查李康生的电影于是打算看的 是一部我无法去解读 但是真正觉得好的片子 虽然之前并不知道艇户上岸 夫妻分离的历史 但是很喜欢这样有社会背景及反思的故事 甘仔 邱宽明 都是很鲜明的人物 每个演员无论被人们看起来似乎是哪个类型的 在这部里的表演都融得很好 p.s.这里面好喜欢李康生的角色 长相又要不是问题了[偷笑]
阿怪Sir,8.0,2013-10-6 13:00:57,黄秋生戏里戏外都是左派。
流沙枫,7.0,2017-7-11 22:24:38,为了李丽珍，看这片第二次了。。。没想到她现在己经年过半百！
小四6171,,2016-12-7 14:59:13,三分之一弃，许鞍华的政治之作，香港左派的故事。许鞍华的节奏还是偏慢啊！
filmman,8.8,2015-12-28 0:08:45,壮美的社会历史的记述，社会潮流下弱小人心的浮动和苦难。
斗驴,8.0,2015-10-9 22:53:47,李丽珍据说凭借此片获得了金马影后，看完后，倒是黄月球留给我的印象更加深刻，送别那场戏最甚，黄月球真是什么角色都能演，神父也能演，变态、杀人狂也能演，很好的一个演员。看的粤语版，无字幕，在某电影网站上简单地看了一下剧情梗概，就开始看了，还行，抛去政治部分的话。李康生很少在其他导演的电影里面看到啊。
大鑫,8.0,2015-1-22 15:53:01,曾经年少轻狂 曾经为爱受伤
綝缡,8.0,2014-9-30 23:30:32,不大了解香港历史，现在对政治什么的也并不太在意，好像早已经过了对《颐和园》充满探究欲的年纪。电影氛围很迷茫，我看得也有些心烦意乱，只有黄秋生弹唱着《国际歌》的样子是一道光。千言和万语，随浮云掠过。
SuperCat,8.0,2014-9-27 14:13:01,历史总是在沉默中爆发，反复......多么大的黑色幽默啊
自由彼岸,7.5,2014-9-24 14:56:55,许鞍华作为一个女性导演，却偏爱政治题材，实在让人很惊奇。我一直喜欢许鞍华的风格，不过对故事一点儿感觉也没有，总算知道为什么黄秋生是左派了。
可恨的哎哟,9.0,2014-7-15 11:06:06,香港的历史
Luna_星,7.0,2014-6-25 20:29:42,消化不了，没有集中注意力看，包含关于政治的话题理解无能，很多支离破碎的情节，也没有好好串联，唉，心不静所以看不进吧。 记得很伤感的曲子，破旧的房间，还有渔船。
崔斯嘉,8.4,2014-5-23 14:55:20,其實生活流才是最難拍的吧，但是這也是許鞍華最擅長的。看似淩亂但很生活的故事，和面對生活愁緒多多依舊前行的人們。黃秋生的神父，謝君豪的意願都很贊，複雜而飽滿，李麗珍應該更漂亮一點，小康很適合這種苦戀又付出的角色。導演掌控力一流，散碎的情節綜合成了千言萬語，說了她想說的話。缺憾是可能過於追求記錄感覺，部份鏡頭不夠。看到片尾，應該是有原型支持的，有原型拍的如此真，很難得。
百家影评,7.0,2014-2-14 12:07:19,李丽珍演技真的不错，无论演什么，表演很自然。可惜没得过香港金像奖影后
Harrydor,6.0,2013-12-26 10:24:36,一直期待在故事里面看到一些政治隐喻，可是隐喻没看到，故事里也没怎么看懂。同学硬拉着我看的这部戏，若非如此，我是不会主动挑选它的。
路过的蜻蜓,,2013-10-18 22:45:08,《千言万语》  某届的最佳影片 但貌似是查李康生的电影于是打算看的 是一部我无法去解读 但是真正觉得好的片子 虽然之前并不知道艇户上岸 夫妻分离的历史 但是很喜欢这样有社会背景及反思的故事 甘仔 邱宽明 都是很鲜明的人物 每个演员无论被人们看起来似乎是哪个类型的 在这部里的表演都融得很好 p.s.这里面好喜欢李康生的角色 长相又要不是问题了[偷笑]
阿怪Sir,8.0,2013-10-6 13:00:57,黄秋生戏里戏外都是左派。
iakd,7.5,2013-9-8 23:51:07,一位香港女导演以这样的视角拍出这样的政治片很不容易；不过其含蓄、晦涩和过于沉重让人感觉太不轻松。
