jackdawson1991,9.1,2019-4-7 19:26:07,30年之后重新回顾吴宇森里程碑作品《喋血双雄》，虽然动作场面稍逊时代特效大片，但是耐人寻味的台词、经典的场景布置还有影帝级别的演技令此片成为永不退色的经典。也许我也是一个念旧的人吧所以对这些江湖道义总是感触良多。一个是讲原则富有同情心的杀手反而被雇主追杀灭口，另一个是嫉恶如仇的警长却一直被各种潜规则排挤被市民投诉而郁郁不得志，这两个有情有义的男人交织在一起上演的惺惺相惜简直不要太迷人。
TreeDD,6.3,2019-1-28 20:57:21,硬壳，动作场面挺有特色的，特别是双枪！再加上教堂和鸽子，这很吴宇森！
司小幽,8.0,2019-1-11 9:19:04,做兄弟，有今生，也要有来世。发哥和修贤继《龙虎风云》后，再做兄弟联手，着实满足了我，可惜结局发哥都让人唏嘘不已，当然本片还有老吴那熟悉的教堂与白鸽，枪战情节也不落俗套，龙湖风云兄弟情想再续的童鞋不妨一看哈！
大人大人物,8.0,2018-12-4 2:32:36,少年时看，以为和英雄本色差不多。现在再看，完全不一样。不愧是吴宇森巅峰作品。枪战的表象下是法式新浪潮电影的浪漫情调。法国二区长版提供了更完整更优雅的故事表达。相对于港公映版的双男友情设定，增加了双男同时倾慕女主的线索。附赠主创解读访谈，更加完整了解影片意涵。
火车怪客ESKARE,8.0,2018-10-25 11:09:06,浅醉一生
波哥007,7.8,2018-10-19 23:37:59,发哥的经典大作，值得再看，主题曲也不错。
百家影评,8.0,2018-10-9 8:39:21,电影在配乐中透露着英雄浪漫气息，但导演吴宇森有一个小诟病就是，太过于频繁的运用慢镜头，一次两次觉得很浪漫，但太过于频繁就不好啦
萧萧凯风,8.0,2018-1-14 21:15:29,老式经典港片诠释什么是道义
英格玛和莎嘉,8.0,2017-11-10 9:34:47,资料馆第一次看 暴力美学很经典 港片的黄金年代很牛 但放在今天还是有很多问题 但今天的问题难道不多吗？？
一一1051942,8.0,2017-11-8 22:09:19,暧昧的台词。
过节耗子,8.0,2017-8-23 10:51:32,结局真的太虐了！如果放在这个年代，观众一定接受不了！
beEnterprising,7.1,2017-8-16 21:13:34,经典！这个时代看不到这样的电影这样的人了
四条棍744254,7.0,2017-7-19 12:14:18,一直觉得吴宇森的老电影最好的作品是辣手神探，因为里面没有那么多男男之间矫情的肉麻对白，而这部喋血双雄，小时候看就感觉不杂滴，太作了，每个演员都疯狂的装着B，现在看更觉得巨无聊，明明枪枪都是爆头但还要补上无数枪，而林迪安不停的死了活活了又去死，一会儿撞玻璃一会儿撞桌子，朋友这个词基本被大段肉麻的台词上升到G佬之间的情义，怪不得当年某杂志上有采访外媒对此片的评价，感觉是两个男人和一个女人爱上一个男人的故事
口含玉无敌,10,2017-7-6 10:54:02,我心目中的经典之作，完美，每当叶倩文的歌声响起，你会沉浸其中，不能自拔！
junf,8.0,2017-5-17 23:15:33,吴宇森很套路，确实也很动人，你永远会记得他那些经典的个人标签：教堂、白鸽、风衣，打不完的子弹，滑躺开枪，慢镜头，定格，然后情怀幽幽地叹一声“江湖”。然而时间久了却很难分清楚具体每一部的差别……这毫无疑问是他最成功之处，却也成了他最大的缺点。
bbsbt,8.0,2017-4-22 18:57:57,义薄云天，发哥个别片段是不是用力过猛。
神經刀,8.3,2017-1-19 19:29:02,三个爷们间的情感表现得还可以。吴宇森的枪战美学，把枪当成剑来使。后面煽情比较“中式”了，干脆利落效果更好。
安菲尔德,7.7,2016-11-14 0:13:08,又是警匪打出感情来的吴宇森风格。虽然是套路但是精彩就好！
emishow,8.0,2016-11-4 15:08:33,在那个年代属于一流的故事，江湖道义是立命之本！吴宇森最佳的代表作之一。
睡人Sam,8.0,2016-10-30 22:05:52,无论是周润发，李修贤还是四哥，要看如今已经被扭曲的男人间的友情和义气，还是要看吴宇森！结尾处互相错过在地上挣扎的两人，也许会是吴宇森作品留给我印象最深的一幕...
woniu2048,8.0,2016-10-23 22:46:25,英雄惜英雄，江湖道义，兄弟义气在吴宇森美学暴力的框架下展现了另一种表达方式。
CeneridiLeslie,7.8,2016-10-17 23:18:31,属于那个香港电影黄金时代的浪漫
只是孩子,8.2,2016-10-8 13:04:23,知音绵绵，爱恨难分。
伊儿,8.2,2016-10-3 19:09:48,吴宇森八十年代的经典作之，人物塑造完美。周润发与李修贤的对手戏掌控恰到好处，无论从枪战场面到配乐的代入都非常完美。联手曾江、朱江、成奎安、叶倩文演绎了一场无序版的现代江湖。
plmokmi,8.0,2016-8-20 1:15:47,有义气，才能叫兄弟，江湖再也不是那个江湖
Teddyman,8.2,2016-8-16 18:34:23,我相信正义，但是没人相信我。
梵天,7.1,2016-8-11 16:54:10,好还旧的感觉，教堂里的白鸽简直是经典场景。
chino1462675,8.0,2016-8-1 1:57:49,香港的老电影所带出的色彩和对人性关怀的领悟是现在很多电影难以企及的，其中的原因难解，不仅是导演表演水准的别签，更多的是一个时代审美的演化，此作作为吴宇森的巅峰确实秉着其一贯的欧美风格，在那个时代可以叱咤，如今却再难作为。
安弟3310355,8.0,2016-7-1 12:45:18,按照当初的标准，这个分差不多，枪战的时候有点假。另外叶倩文的早期的歌曲确实很好听，浑厚动人！
楚翰彻,8.0,2016-5-28 15:26:26,萧索冷静，娓娓道来，而这种难得的平静在行云流水的动作场面的映衬下，让本片拥有了一种收放自如的戏剧张力。在镜头语言上，大量宗教符号和理念的引入让本片的故事有了一种浓烈的仪式感，恪守准则的杀手在道德感缺失的现代社会更像是一个圣徒，也让赤裸的杀戮充斥着极富荣誉感的殉道理念。于此，江湖道义嫁接救赎理念，吴宇森在东西方文化间找到了人性的普世共鸣，也让本片跳脱出类型叙事的限制，在质疑和反思中完成了一种对于道德本身的洗礼。
默鱼4179376,7.8,2016-4-27 16:01:31,仁慈的警察和有爱心的杀手跨越对立惺惺相惜，把男人之间的感情描写得像1+1=2那样简单纯粹，所以今天的眼光去看也只剩情怀而已
Jim·k,8.0,2016-4-8 0:46:08,结局太虐心了，也不知道珍妮有没有重获光明(´･_･`)…每个演员都表现的太棒了，周润发和李修贤的黄金组合简直绝妙。那个年代的香港电影真是让人不得不佩服…
莈洧洳菓,8.3,2016-3-29 17:21:15,我们都不再适合这个江湖
filmman,7.5,2016-2-6 16:13:25,不会老去，只会慢慢凋零
我把桃花切一斤,8.8,2016-2-4 22:48:57,已过去近三十年还是那么经典，男主男配都很出彩，故事和情怀满满~~~
绝对零度,9.0,2016-1-28 0:12:08,要讲的东西很多：道义、朋友、爱情~~~却一点也不显乱。。。好片！
初雪琴韵,9.0,2015-12-31 21:17:01,徐克、吴宇森 合作的最后一部影片
网叶,8.0,2015-11-1 11:02:44,以前看过似得
不倒翁2915880,8.2,2015-10-19 23:24:16,小时候就很喜欢看这电影，每次电视有重播时必看，尤其是结局教堂的枪战场面更是百看不厌。里面每个角色都很有正义感和义气黑白分明的性格，但好人未必有好下场结局每个主角的下场都很惨，也因为这样小时候看过后留下了深刻印象。随着时间的过去这电影不管在亚洲还是欧美的枪战动作电影的发展都有非常大的影响。
大傻的傻祖,9.0,2015-10-12 0:02:04,吴宇森的作品都很棒
枕枪而眠,7.5,2015-9-26 22:59:29,久违了，好兄弟讲义气！
長安13,7.0,2015-8-30 15:30:53,小宝喜欢毛头！
箫箫,8.3,2015-7-5 12:37:46,虽然又基佬又中二，但是剧本结构还是颇具亮点的~好吴宇森呀！
念及己名,8.0,2015-7-1 17:59:46,当年心目中的英雄本色不过如此。
天堂电锯影院,8.0,2015-6-14 23:55:12,就是无限子弹，关键时候没子弹
未知者,8.6,2015-5-28 23:51:31,教廷、白鸽、枪战，利用蒙太奇的手法将彼此毫无关系的串联起来，创造出吴宇森的暴力美学，可谓是表现手法的创新。强烈的打光对比甚至把刺激悬疑的感觉烘托，当然兄弟情的塑造还是很有意思的。
声色画报,8.1,2015-5-16 0:22:40,情与义，正与邪，白鸽与鲜血。吴宇森用自己的暴力语言重新诠释了警匪片的定义。周润发和李修贤两位硬汉代表着正直，曾江和朱江两位老将则演绎着忠诚，叶倩文负责喊叫。。。
shapeofmyheart,9.1,2015-5-14 16:08:11,很完美，绝对不容错过
小四6171,6.0,2015-5-11 0:49:40,最早的基情片故事有点太浪漫主义了
shapeofmyheart,9.1,2015-5-10 21:45:18,很完美，绝对不容错过
莱阳影评人,8.0,2015-5-9 17:01:36,吴氏动作片的经典之作，满满的兄弟情。
mika3627621,10,2015-5-8 2:26:30,很完美，绝对不容错过
Mrlonely,8.0,2015-5-5 22:42:15,小庄真认为四哥能拿回钱吗？？？？？
李筱楼,10,2015-4-9 21:38:28,这不是动作片
剪刀手刘德华exe,8.5,2015-4-6 21:20:50,鸽子，教堂，枪战，吴宇森元素
坏姑娘小简对抗全世界,8.2,2015-4-3 21:56:34,子弹不要钱啊。
shapeofmyheart,9.1,2015-4-1 22:42:58,很完美，绝对不容错过
影迷瓦力,8.5,2015-3-27 13:44:29,重温John Woo结束~
路特维希,8.0,2015-2-12 20:08:29,发哥一直是我喜欢的男演员，因为身材超级好，不是什么胸肌啊之类，你们看亚洲男人，很少长这么肥肥的，还这么帅的，对不对。而且在纯情和痞气之间，没有人比他把握的更好。
綝缡,8.0,2014-12-1 19:27:59,周润发似乎演的很好的样子，可我实在对他没感觉。。其他都还好。
格斯范,7.7,2014-11-8 14:49:49,要想抓我，就跟我一起杀出去。
Apollo,8.6,2014-10-26 16:34:12,吴宇森巅峰之作，发哥最酷帅的角色，时至今日在大银幕上看来依然动人心魄。作为一位类型片导演，吴大导之所以能够享誉全球，绝非“暴力美学”四个人能简单概括得了的。他的电影，写情写义，极尽浪漫化，影片中所飞扬的是对美、对情义、对正义的童话般的追求。
yjxue84,9.0,2014-10-25 15:22:25,暴力美学难以逾越的精典
好弗狼,7.4,2014-10-7 17:21:42,太多喋血了，但这部可看。
铅纸鹤,7.9,2014-9-27 0:37:33,或许我们都太念旧了，我们不再适应这个江湖。
Kevin_凯文,7.8,2014-9-6 19:19:17,侠肝义胆，有情有义的侠客精神是中国人的优秀品质，吴宇森用西方人能看懂的方式拍了这么一部枪战片，本片已经超出了枪战片的范畴成为了一种精神。吴宇森的镜头表现力相当强，给人一种沉稳内敛的感觉，电影的配乐也相当优秀。周润发和李修贤的表演也可圈可点，教堂的鸽子成了点睛之笔，这是吴宇森的巅峰之作！
郭追,10,2014-8-29 20:26:07,取自于原著法国电影独行杀手
CLOODI,9.0,2014-8-5 14:33:33,周润发眼睛中枪没有办法再捐眼角膜给珍妮了最后两个人还是错过了，，悠悠的口琴声中李修贤含着热泪把大傻击毙了，，两个彼此相互理解、惺惺相惜的人之间充满情义的悲壮的故事T T
川续断目,7.0,2014-6-30 22:50:36,周润发在这部没什么特色，没有小马哥、巧克力、阿海他们的风采
之晨,7.9,2014-6-28 19:51:10,世界变了样，但还是有这样一群人在坚持着道义、朋友情和责任，无畏刀枪火海坚持信仰向前，这就是吴宇森暴力美学外衣包裹下带给我的感动！
香蕉个八辣,8.0,2014-6-16 9:54:54,精彩的动作剪辑  默契的背景音乐  暴力血腥的镜头  经典的港片！
一口气念不对,8.0,2014-6-6 15:20:12,警察和悍匪情义。
Luna_星,8.0,2014-5-30 17:37:40,女主那浮夸的演技啊。。。 很饱满的片子，黑白两边都有义气，角色塑造很有魅力。  剧情各种BUG，童年回忆的片子，代表了一种类型。
薄翠,8.0,2014-5-23 13:16:38,第一部让我印象深刻的枪战片，吴宇森当年的暴力美学真是撼人心魄
shapeofmyheart,9.1,2014-5-4 10:45:57,绝对是吴宇森的巅峰之作，变脸相比较而言就差多了
paper-deaf,8.0,2014-5-3 19:51:23,一部枪火题材电影，贯穿着太凄美的爱情。枪林弹雨间，爱恨情仇！叶倩文人美歌美哪都美
shapeofmyheart,9.1,2014-4-12 12:20:44,暴力美学巅峰之作，还需要解释吗？
shapeofmyheart,9.1,2014-4-11 0:07:27,很经典，就是结局太悲惨了
loveds,8.1,2014-3-23 17:42:53,儿时满满的回忆啊，发哥果然还是拿双枪放无双时最帅啊！
超级美国队长,8.0,2014-3-20 20:41:22,拍的很棒，双雄搭配，兄弟情、江湖恩怨、救赎，典型的吴白鸽动作片。不过现在看来bug太多，打不完的子弹、穿白色运动服的杀手小喽喽、关键时刻出现的煤气罐或油桶···
注目昔者,8.5,2014-3-11 15:14:29,"在最险恶的江湖,开出最绚烂的血花和最义气的泪花."
桑卡卡夫,8.0,2014-3-6 9:38:16,教堂与白鸽，热血与子弹，登峰造极的暴力美学，激动人心的情谊与义气。吴宇森最好的电影之一，也是香港警匪片永远难以超越的经典。
林子祥,8.0,2014-2-23 11:17:20,吴宇森电影语言集大成之作，枪战、白鸽、滑地、兄弟情全都包涵，如果有枪战戏这门课程，本片都能当教材用
提拉米蘇123,8.0,2014-2-18 21:49:42,"这是一部男人的电影,吴宇森最擅长这种兄弟情谊,对我来说,这类影片过于暴力血腥~"
靓坤lv0461,8.2,2014-2-11 8:24:49,警匪之间的惺惺相惜、江湖道义的恪守背叛、朋友知己的血火考验
號咸魚,8.5,2014-2-5 19:33:46,几乎是大多成熟男人幻想的样子，未成熟大概是山鸡和陈浩南吧。双枪打遍天下，一举一动一个眼神都写着潇洒，舍命挚友，英雄惜英雄的对手，当然还有最后插肩而过的爱人。那时真是港片最好的时代，教堂，白鸽，即使到现在看来还是那么简单，而现在似乎没有这么个人彩色化的画面了。
57号元素,7.9,2014-1-27 22:13:59,相比英雄本色和纵横四海，这部的剧本是最好的，动作场面也是最精彩的
FMV·恐怖杀手分子,,2014-1-14 13:22:10,#伟大的角色#
伦夕,6.7,2014-1-3 23:42:58,一个外形好似阿兰德龙内心有爱的杀手，一个中二正义的警探，一个花瓶，无数的子弹
丛虫_H,8.0,2013-12-26 6:33:25,江湖嗜血，你怎么做一个好人？
百家影评,8.0,2013-12-11 21:29:57,配乐真的不错，特别是结尾那首口风琴。。。。。。
ex_impression,10,2013-10-26 20:48:12,预祝你票房大卖啊。。。
良药毒药,9.0,2013-10-17 15:45:17,片子看到一半，我突然明白了一个问题，到底是什么在吸引我看香港的警匪片。其实答案就两个字：原则
CUI影视工作室,,2013-9-29 22:20:06,开辟了香港动作片的典范
海边散人,9.0,2013-8-28 17:03:40,暴力血腥啊!
bigfly,7.0,2013-8-27 21:47:09,好像木有真正完整的看完过。。。。
爱达荷的定春,8.3,2013-8-26 23:37:43,曾经我以为辣手神探中的枪战已达叠峰，而喋血双雄又再次拉伸我的极限，用不完的子弹，飞不尽的白鸽，圣女像破碎一地，教堂烛台间，宿命在劫难逃....吴宇森导筒下最出色的爱情戏，最淋漓的兄弟情，黑和白的间隙里有条路叫灰色地带，可惜走到尽头却是死亡
wakan,8.0,2013-8-18 19:35:27,鸽子，教堂。无限子弹模式。
M独立影评人,5.0,2013-7-13 18:01:57,都不知道经典什么啊！
韩景峰看电影,9.0,2013-7-13 13:58:22,电影是吴宇森独特暴力美学的生动阐释，打碎所有悲悯的枪战场面把简单的故事填充得丰满而又充实，演唱了一首沐浴在枪声和血浆中的关于是与非的道义赞歌。影片有着令人心动的爱情和感慨良多的心灵相通，以及具有感染力的血色浪漫，而镜头出色地挖掘出了周润发和李修贤的个人魅力。
阿獠2012,,2013-7-6 19:32:16,无需要说太多，吴宇森+周润发+李修贤的组合只此一次，港产枪战片的辉煌之作。
莉莉,8.0,2013-7-6 16:53:42,小时候看过的片子！
彩虹足迹,7.5,2013-7-4 3:55:28,现在看太老了   就是枪战   扔个手榴弹全部解决了
昌平一只猫,10,2013-6-5 0:45:36,至今忘不了当年看这片子录像带时的震撼，枪战片的里程碑~~
万能小剧场,8.0,2013-5-31 11:03:23,教堂，白鸽，双枪滚地，这是吴宇森的招牌和经典桥段，本片与《英雄本色》同样经典，也有着共同的主题彰显，那就是江湖道义的呼唤，讲道义的人活得很难，因为江湖没秩序。警匪、黑道片里，吴宇森爱讲道义、爱枪战场面热闹，杜琪峰爱讲秩序，爱枪战氛围营造，但在我看来，杜琪峰更符合我的口味。
李比廉姆,7.5,2013-5-19 17:32:08,道义比规则更重要。
sleepheart,7.5,2013-5-3 23:00:34,英雄莫问出处，朋友亦是，行走于黑白两道间的友情与道义，在任何时代，都是珍贵而脆弱的
UncleMarston,9.0,2013-3-16 23:51:37,吴宇森的暴力美学是独一无二的！
