不经意的转弯,8.4,2019-3-18 1:02:35,非常好，震撼人心。
随便帅下,8.0,2019-2-6 17:05:24,这就有点恐怖了。。
最零下一度,10,2018-11-29 13:31:34,竟然现在才看这部电影，以前以为活着是张艺谋最好的电影，看了这部以后我改变了这种想法
瑶艺,9.6,2018-11-3 11:55:53,已经不太记得情节了。只记得红灯笼挂起的意义。还有很多巩俐阿姨的眼神。
推三轮的王老汉,9.0,2018-10-14 16:13:59,摄影构图教材 堪比皇家后宫的宅院与旧社会大户人家森严的规矩让全片处于一种压抑的氛围 始终是远景镜头的老爷是本片最高权力的象征 只可远观不可近察 点灯 灭灯 封灯 锤脚具有浓厚的仪式感 同时也决定着人物的命运 勾心斗角的大宅院正如穿插的配乐一样 上演着一台台尔虞我诈的戏码 永不落幕
七七家d猫猫,9.0,2018-9-29 12:11:27,一方院子之中困住的何止是女人，还是向往自由和追逐独立的那股热血，在这个没有春天也模糊男主人的天地里，她们什么都像，却只是不像人。更加可怕的不是女人何苦为难女人，而是自己何苦为难自己。“你什么也没看见。你疯了。”韵味十足的结尾让人不寒而栗，仪式感和形式感从第一秒延续到最后一秒，色彩和声响的运用恰到好处，化繁为简却能够制造出平地惊雷的震撼，令人起立鼓掌的精彩！
狂热信羽,9.0,2018-9-7 20:02:07,好压抑。。。
性感大叔,7.7,2018-8-27 19:38:32,像一把刀子，狠狠戳进中国旧社会封建核心最深处。几乎是一部结构精密的惊悚片，在这个大院里，人“像猪，像狗，就是不像人。”封建的压迫通过“点灯”这个原创的元素体现，全片也围绕点灯，展开了权力的明争暗斗，但是权力又被“老爷”一手大握，全片没有露脸的老爷也体现出恰到好处的压迫感，张艺谋的电影对视觉上带给代入感是很注重的，也正是这一点，让他领先中国其它电影人很大一步。
过千帆,9.0,2018-8-12 21:10:36,这院子里有猫有狗，就是没有一个是人…
C·R7,9.0,2018-7-26 10:08:25,和《活着》并列老谋子导演生涯最佳；张式美学运用巅峰之作，大量隐喻令人生畏；点灯熄灯灭灯封灯，人在这个大院里，像狗、像猪、像猫，就是不像人。
jensenyg,7.9,2018-7-20 20:17:22,画面、表演、剧情几乎都没有缺陷，真是深刻揭露中国封建家族制。
小四6171,9.0,2018-6-4 19:29:09,这片可以用王家卫那句概括一部分：任何人都可以变得狠毒，只要你尝试过甚么叫忌妒。其余部分可以用以下这句台词概括：在这个院里，人算个什么东西？像狗像猫像耗子，就是不像人。（吃人、杀人的大宅。）题外话：大红灯笼还是讲的旧中国，欧洲对现代的东方兴趣不大，也造成傲慢。
梧素衣,7.9,2018-5-12 21:17:18,老谋子早年的作品大多都是这种封建女性的被压迫，颂莲从一个受害者也渐渐变为间接施害者，代表了那个时代一众女性的悲哀。摄影非常美，可惜音乐稍逊色。另外，每个演员的表演也非常棒。
楚翰彻,7.8,2018-3-23 18:01:31,虽然剧作前半程的强大节奏未能贯穿始终，好在考究的调度、摄影、音效最终出色维持了电影的张力。毕竟相比透过密不透风的压抑氛围满溢而出的隐喻主题和情绪细节，主干情节似乎仍在典型的中国式现实主义中打转。当然，轮回结构，色彩运用和角色塑造都得到了出色且自洽的执行效果。
touya,9.1,2018-1-20 19:35:48,大院就像一座微缩的紫禁城，庞大又压抑，进来的女人无论何种性格最终都被反噬，最安全的方法是顺从是虚伪，活得通透的想得明白的性格倔强的最后非疯即死。始终面目模糊的老爷才是真正站在顶端拥有话语权的人，灯笼点了又灭，女人死了再娶，谁又被谁记住呢。
Aee3519479,8.0,2018-1-12 0:56:56,电影让我觉得难受
summertracy,9.0,2018-1-7 13:51:24,是老谋子拍的最好的一部电影。
最美的记忆933722,8.2,2017-12-13 20:47:54,情欲的纠缠，自我的压抑，人性的善恶，女性的悲苦，都展现的很充分。乔家大院福利深邃。不过，大红灯笼倒是反衬出富贵气象之下的冷峻，森严和腐朽。
萧萧凯风,9.0,2017-11-26 22:43:12,在那个年代，人命如草芥，规矩都是上面人为自己利益立下的。
washighton,8.4,2017-11-8 20:14:07,封建
半袖,9.1,2017-7-16 0:36:49,真应该在大屏幕看，一定会久久心塞。很希望颂莲最后能翻盘，能搅动这扭曲的大院，然而最后漩涡还是越来越小，吞噬了所有人，悄无声息。音乐点睛。20170714
铅纸鹤,8.4,2017-3-23 12:17:50,冰冷阴暗，毫无感情的恐怖片
喋血情枭,9.3,2017-3-20 12:47:58,说张艺谋不是好导演的都是没看过他电影的，说这些电影可以在国外拿奖是因为展现了中国封建社会的落后让外国人开心的都是自卑的人。像四太太这样性格和情商的人在当今社会也都要死得快。自己就不是多么高尚的人还要怪别人心狠手辣也没用啊。喝醉酒就把别人害死了这种人能靠谱到哪里去。雁儿是蠢死的，没人招你惹你自己找死干嘛。除了角色性格我不喜欢其他一切完美。这个故事告诉我们表面笑嘻嘻最友好的人才是最阴险的小人，所以大家以后离我远点。
junf,8.0,2017-3-9 23:01:12,国师的镜头真太工整。配乐出色，几声戏曲，几声鼓点，几段小调，故事的意蕴就全出来了。对称的古典美学，大量的空镜头。何赛飞的三太太真是令人印象深刻。片子很好，但这类故事我确实谈不上喜欢……
水·无痕,8.0,2017-1-21 18:37:30,封建家族的恐怖，人只是围墙中游荡不得出的鬼魂
AWC奧奧,7.2,2017-1-15 9:45:06,对称式构图的巅峰
穆陈,10,2017-1-11 11:55:12,好看。可怕。恐怖片
瓶瓶,8.7,2017-1-8 23:54:41,这质感，简直了！
我是迪迦,7.4,2016-11-26 21:50:38,社会环境改变人性的故事。
Tony_Lee_3,4.0,2016-10-31 12:52:59,何赛飞真棒 但是剧情略失望 巩俐的反击也太low了…
后湖,9.0,2016-9-10 21:48:38,这个美国版预告片挺珍贵的，料很足，准确。
后湖,9.0,2016-9-10 21:39:50,课堂上看过好多遍了，经典，可靠。
后湖,9.0,2016-9-10 21:38:48,课堂上看过好多遍了，经典，可靠。
filmman,7.1,2016-7-6 6:05:15,张艺谋之红色的女人巅峰之作，格局的逼仄，情绪的压抑，宿命般的结局，如今来看，社会意义和现实价值其实并不高。
仲山奥理,8.0,2016-6-13 0:03:22,大红灯笼高高挂，成群妻妾个个怜，故事和形式结合得很好，人和物的设定寓意十足，场面调度和镜头语言也相当不错，最惊艳的则是张艺谋对色彩和道具的运用，特别是那些贯穿全片的大红灯笼，与暗色背景作对比，以多彩服装来衬托，形成了强烈的视觉冲击，关于灯的仪式则象征了封建社会的女性任人摆布的命运。
很简单的哎,9.0,2016-4-30 22:00:47,这其实也是一个众女励志的故事啊
大漠孤鹰1987,8.0,2016-4-29 18:43:03,这阴森的氛围，就跟鬼片一样让人不寒而栗。
