Treise,,2019-2-19 23:33:52,未评分
毅术家,9.0,2019-2-13 1:07:31,曾经有一份真挚的爱情摆在我的面前，但是我没有珍惜，等到失去了的时候才后悔莫及。尘世间最痛苦的事莫过于此。如果上天可以再给我一次机会的话，我会对那个女孩说，我爱你。如果非要在这三个字上加一个期限的话，我希望是…一万年！
阿飞peter,8.5,2019-2-12 1:44:49,无所谓情节，一个眼神或一段独白，不煽情，也不矫柔造作，这也许是最合适的状态
随便帅下,8.6,2019-1-12 0:17:49,初中时候，一个小电视台的主持人评论说，当你什么时候看大话西游哭了说明你看懂了。那时觉得装什么逼呢，这么好笑的电影。现在，真的感动，因为那份情。
国庆电播小弟,9.3,2019-1-5 14:54:47,自古以来的爱情也不过如此。这部片再一次以凄美的爱情故事和穿插其中的快乐笑点深深打动着我。
国庆电播小弟,9.3,2018-12-30 12:52:07,自古以来的爱情也不过如此。这部片再一次以凄美的爱情故事和穿插其中的快乐笑点深深打动着我。
昆丁塔伦蒂诺的影迷,9.0,2018-12-5 17:05:53,纪念每个人心中的紫霞和盖世英雄
衰仔乐园,7.2,2018-12-3 15:14:45,多年之后才慢慢走红的一部电影，以前当是一部喜剧，恶搞和无厘头的喜剧。但是现在重看，确实感受到至尊宝那种想爱但不能爱的矛盾。对白还是要看粤语才好看，虽然明显是后期配音。那时候的朱茵真的靓，无敌的靓。剧情故事其实跟西游记关系不大，也很难准确知道是发生那个时期。
nanako-chan,10,2018-11-22 10:28:34,单纯想说星爷这部里面真是颜值巅峰，闭着眼睛带上金刚圈那一幕帅哭。最近在重温星爷电影，森森觉得王晶真是有眼光，星爷的演技确实在华语圈无人能及。
睡熊,8.0,2018-10-27 10:25:11,重看粤语版，发现台词与国语略有差异，更显B级片气质，各种梗大串联，偶有小亮点。
-IHI-,7.8,2018-10-15 18:46:07,H---《4046》
百家影评,8.0,2018-9-5 16:28:06,每一次看都如同余音绕梁三日啊，很多片段值得回味，很多段落看似荒唐却又很有深意。这是一部宿命论电影！值得深究！真的不是一部简简单单的电影！
流光飞舞,10,2018-7-21 16:49:58,这部片子，是目前为止，我唯一打满分的！
十Diez,9.8,2018-6-29 16:43:06,纪念每个人心中的紫霞和盖世英雄
坦然回忆,9.0,2018-6-13 15:20:04,和肖申克一样，一年看一次，每次都是新的体验
什么都不叫事儿,10,2018-5-20 10:32:10,重看了一下重制版，很多电影值得二刷三刷，这个电影刷了不下十遍，星爷就是大爱，经典就是经典。台词都快背下来了，还是会感动……每一次音乐，每一句台词……紫霞太美，星爷太帅，故事太凄美，音乐太好听。
小四6171,10,2018-5-13 9:33:51,详见长影评，重看终于泪流满面，虽然略简陋，但里面的爱情故事可说隽永。小倩之后的中国神话电影巅峰，了不起的时空穿越片，了不起的罗拉快跑本土化，了不起的喜剧，了不起的爱情和人生故事。
Ruiruirui,8.7,2018-4-27 23:51:40,"""你看那个人，他好像一条狗啊"""
henryhaobin,9.0,2018-4-15 1:28:37,完美两部曲
·虫虐·,9.3,2018-4-2 12:45:50,我居然没有给这部最爱打分！？⑤-1.6？
梓蘅gloria,10,2018-2-17 21:59:34,初中高中时第一次看，深深的记住了城楼上的那个镜头，还想着此生也许会实景看一次，但是那么远的地方，今生何时会去呢？2013年去银川出差，西夏王陵，镇北堡，全去了。那么一回身，城楼赫然在我眼前。那一瞬间，周围的人仿似消失不见，我变回了十三四岁的小姑娘，隔着屏幕，看着那一幕。人要有梦想的。2017年，我竟然再次踏上银川，再次去了西夏陵，真是神奇的银川啊！
大鑫,10,2018-2-6 21:02:40,重映版本  配音都换了一遍   没有看过一百遍起码也看过99遍的人  表示不能接受
水墨泫然,8.0,2018-2-3 18:59:42,喜剧的结局总让人泪目
ss369x,8.0,2018-1-22 0:00:48,一生所爱一生所爱。
龍飛,9.0,2017-12-22 23:03:07,经典的东西永远值得去品味，每次都会有感动也会有对世间的些许无奈，不适合经常看
SWTY,9.0,2017-11-26 0:00:44,多年后才看懂，笑中带泪！
蔡正一,7.0,2017-10-8 0:53:07,一直不觉得经典，过度解读的作品，加长版加的东西也可有可无
mu_l,7.0,2017-8-19 21:17:45,比月光宝盒强些，周星驰演的很认真，总体感觉还是解读过度，看片的比拍片的想的多太多。不是所有人都能斗的过命，没谁一辈子会不留下点遗憾和无奈，笑闹怒骂，不同人不同方式而已。
Sweeeny,9.0,2017-8-13 23:21:48,当年看的时候第一部笑得肚子疼，第二部又会落泪。经典神作，永不褪色。
欢辰,8.0,2017-7-14 21:34:56,看一次笑，第二次是哭着，到第三次有的便是情怀
请别评论,9.0,2017-7-11 12:22:59,（9分）笑着带泪，大话西游属于我们的过去，属于每一个曾经被它感动的人。
Alicecao,10,2017-7-6 22:14:48,心中终于没有遗憾了
Summer的猫,7.0,2017-6-30 20:26:05,2017年上映是第一次完整的看完大话西游。对这个电影没有任何带入感，不过在国内你要是说大话西游不好看，基本上对方会嫌弃你没看懂……我真的看的懂啊，只是没有被触动啊。
