SuperCat,8.0,2019-5-13 0:19:19,电影把社会底层的绝望用一种近乎冷峻的方式刻画在银幕上
september077,8.1,2019-4-12 17:30:57,现实社会致命一击的作品，枪枪打在要点上，揭开XX最丑陋一面，鸣枪反击是他们最后抵抗！
wakan,8.7,2019-4-8 15:30:37,一个个小人物，才是推动社会巨轮的根本
态度Online,8.0,2019-1-5 8:37:58,4重蒙太奇手法
天空螃蟹,7.4,2018-12-2 21:22:03,一部很有特色的电影。难得国产中有这么尖锐的题材
漫伽,7.0,2018-11-21 22:51:08,用四段故事去展现一种命运。表现的是底层人物的一种宣泄，也是一种反抗。但抱歉，这片并不是现实，不过是一种臆想。
hzsimonlin,7.6,2018-9-10 9:55:59,昆汀风格，中国味道
过千帆,8.4,2018-9-9 23:15:00,贾导，还可以再深一点，再痛一点。
vogh,8.6,2018-8-23 13:59:29,这种影像的力量也没谁了。
amraam,7.5,2018-8-16 2:23:00,几个小老百姓的生活拍得挺带感，看影评才知道是在讲时事。人尽皆知这点事不让上映真是不知说啥好！
奇爱先生,8.0,2018-8-6 23:55:01,哎哟喂，又出来了？
觉醒的大雄,7.9,2018-7-15 21:29:40,宝强从影最帅开场
果果MTime,,2018-7-14 16:57:00,更喜欢英文译名，这才是原始人类的欲望。从来都觉得，社会到一定程度，文明规则一定会在某方面与人性相悖。而真实的释放，有时虽然带着无奈、可怕、冷酷，冲击力却原原本本击中了我~~社会需要这样残酷的反思！
汲哲,8.0,2018-6-30 22:14:17,作为国产电影中少见的直面现实的电影，《天注定》给我的冲击力很大，很大程度上我们可以认为这是一部体现“侠”的电影，虽然导演象征隐喻过多，一定程度上破坏了电影流畅性，拉低了表现力，特别是赵涛杀人那段。
随风819,8.0,2018-6-10 16:59:39,关注了当下的矛盾
ducky_z_x,8.8,2018-3-29 22:06:58,新闻中是飞速增长的GDP，而民间丛生的是暴戾之气，一旦爆发便是玉石俱焚。
唐人凤,10,2018-3-14 22:38:11,侠与匪。杀与自杀。民间疾苦，尽在于此。中国太需要《天注定》了。然而已成绝响。今后都不再会有了。再见了，旧时代。
7S记忆的鱼,8.4,2018-3-1 22:05:17,我以为有果必有因，而贾导却说我们生而有罪，想想也不是没道理，快意恩仇总让人有种莫名的释放，而在主宰别人命运时的优越感却让我们获了罪。
ocean402,7.0,2018-2-17 22:58:07,毫无关联的四个片段，山重水复疑无路，柳暗花明又一村，生活没有一帆风顺，承压能力是生活的一部分。恶人自有恶人磨。抢劫、村煤矿、洗头房、富士康，仅仅是记录了阴暗的一部分。
萧萧凯风,8.0,2018-1-8 8:34:11,因为拍得太真，所以被禁是应该的。
法海与白素贞的爱,,2017-11-23 19:46:00,看的时候很害怕，也很压抑。喘不过气来，不知道该怎么做。
