Maxthor,7.7,2019-3-25 16:45:16,故事荒诞，小农村大社会，父系、封建精神无处不在；非线性叙事，剧本老实也很踏实，人物关系环环相扣，靠着剪辑取胜的烧脑，作为处女作的水平已经很高；画面粗糙写实原始，无明星的素人阵容，但都很敬业不出戏，尽管依然不是我的菜；片尾的那一小段字幕，应该是审核妥协，就像为了审核把片名改了一样，实在是煞风景的一笔。
钱三,8.7,2019-1-28 16:49:38,没想到国产悬疑片能拍的这么好看！
小麦粉,9.1,2019-1-17 0:32:48,这剧情结构真的也是神了。太有意思了，可惜当年没看，最近看了《暴裂无声》之后来补的，发现完胜爆裂。实在是喜欢。把一个讽刺剧情片结构成一个悬疑片，然后再进行各种穿插解谜，看得很爽。上一个看得这么爽的还是《记忆碎片》。唯一的遗憾就是最后的那段字幕，确实有点煞风景。
大大熊猫,7.6,2019-1-8 18:22:07,情节引人入胜~
ocean402,8.0,2019-1-6 10:10:59,倒叙如抽丝剥茧，场景放到更加偏僻不通公路的小山村才贴切，警察三天后才能赶到。村长少爷等配角的表演像是纪录片。
不经意的转弯,7.6,2019-1-2 0:51:39,还不错，但结尾那行字真是太煞风景了。
tuweri,7.4,2018-12-20 22:31:47,有些事，非得问出来？放在他心里，就像石头一样，压他一辈子，他一辈子就会对你好，你要是问出来了，这石头就搬到你心里了。
奥格斯特小姐,8.0,2018-12-11 22:03:03,挺有意思的，悬疑搞笑农村片，有点低俗小说的味道～
漫伽,7.0,2018-12-9 21:32:50,情节的转折、多线叙事手法做的很不错，而且埋藏了很多细节让人回味。有对人性的一种拷问，但是只是流于表面，很多片段的衔接处理的也不好，会让人搞不清故事发生的时间，减弱很多因为多线叙事而带来的惊喜。
深蓝色,9.0,2018-11-14 20:19:48,编剧巧妙，情节让人不断意外
寒武,8.0,2018-11-12 21:38:51,一个好故事和用心讲故事的方式已经让一部电影足够称道，其他都是锦上添花。
