Xeon-H,9.0,2019-4-10 3:24:32,从纯电影的角度来看，这部电影已经超越了多数都市爱情电影。在飘飘然的叙事中，观众完全沉浸在杨千嬅和余文乐的完美的荧幕化学反应中，以至于完全没有意料到结局这么快到来，整个过程愉悦又令人动心。
Darknight,6.5,2019-3-9 21:43:44,20090219——n 55!w !有些事不用一晚上昨晚，反正真爱不赶时间。
uu爱,7.0,2019-2-14 18:33:11,一般，不妨一看
兔子,7.7,2019-2-12 15:00:20,之前的爱情就这么被美化的破坏了，仿佛受伤的那些人不重要到后续都不用出现了
管自力,9.1,2018-9-8 20:46:00,舒缓的节奏，港式爱情片的巅峰之作，8年之后依然怀念。
olarer,8.3,2018-7-28 21:22:32,非常喜欢的一部 片子， 节奏非常非常舒服。
酒鬼喝茶,7.0,2018-6-24 14:07:20,有点意思，不按常规套路出牌。
达利,7.2,2018-6-10 23:38:25,挺舒服的一部爱情喜剧。
aflyingcactus,7.0,2018-1-8 8:16:53,感觉应该比2强一点，因为出去抽烟而举例产生的情缘，男主非常的玩世不恭
晕晕下Novak,6.7,2017-11-28 21:46:25,就，比较典型的港片风格和套路，至少整个故事线条是清晰的，也有一定的深度，算是爱情片里面的一部佳作了。
闻者,6.2,2017-10-14 9:56:56,之前看过，没印象了，又看了一遍，也没有特别喜欢。
怼影,6.0,2017-8-13 18:43:00,琐碎的小破事，感情细腻的人一定爱看。
Harrydor,7.0,2017-7-17 19:20:24,比较普通的港片，比较细致的描写了香港人的爱情吧，尤其杨千嬅演这类的角色简直手到擒来。不知道为什么在时光评分会这么高？香港的恋爱观跟内地明明有很大不同啊。无聊可以一看，看完就算，这部戏被奉为很多情感专家的爱情宝典，真让我理解不了。
凭空消失的猫,8.0,2017-7-16 0:41:38,很久没看港片啦。其实说实话看得港片类型不多，这是第一部非动作非警匪非纯无厘头喜剧的港片~拍得很细腻。杨千嬅女神真的是很有特点又有气质的演员啊。
你不懂我的心,7.0,2017-7-7 10:11:05,一口气看了三部曲！第一部最好看！
忻小小,8.2,2017-7-6 9:26:13,春娇为了接近喜欢的人学会了吸烟 志明担心春娇的健康决定和她一起戒烟 志明与春娇因吸烟相识 因戒烟相伴 缘分真的很奇妙 
熊熊大水,7.8,2017-6-14 12:53:18,恰到好处的爱情小品，正点！
Sweetzhu,8.0,2017-6-8 21:07:41,暧昧情愫，小细节演的蛮到位，粤语很好听啊~
查美乐,7.0,2017-5-27 14:34:03,只想说他们真会玩，不同的人，果然会遇到不同的爱情。
盛一阁,8.0,2017-5-10 13:12:43,它让重新咀嚼了一遍自己的青春。
家生,8.0,2017-5-7 20:28:31,看破不说破
Lector-iz,8.0,2017-5-6 13:12:19,《食烟男女》
断尾猴,7.8,2017-5-6 12:30:33,吴医生曾说：你们这些人交往提前也不说清楚，真是不靠谱。
KraT03,7.0,2017-5-5 8:14:57,挺好
菲林,8.0,2017-5-5 8:07:47,紫色头发真好看。只有7天啊，感觉像认识了很久。因聚众抽烟结缘，一切似乎都很顺理成章。我也想买干冰。i n 55!W ! 丧丧的没有干柴烈火的爱情片。
柳风哥,5.0,2017-5-3 22:31:41,专一的我只能打低分
如果白色,8.0,2017-5-1 22:59:23,2010年的爱情片，找到并且追下去
昆丁塔伦蒂诺的影迷,8.0,2017-5-1 19:46:18,回味余烟~
阿飞扬,9.0,2017-5-1 17:20:23,这么一部片子居然排到了华语电影前100，看来经典电影和古不古没关系，而是是否接地气，讲出了现代人真正的生活状态及心情
highigher,8.0,2017-4-28 22:29:08,因为她而看，就是为了不想成为她的张志明
毒舌X小姜,7.4,2017-4-28 2:33:05,回味余烟~
september077,8.0,2017-4-20 17:11:00,故事太简单，太香港，街头巷尾类似景象很多！主角不过两个地道的老烟民，但却实实在在呈现当代男女恋爱观。
八八戒,7.1,2017-4-18 2:35:07,禁烟好啊，可以认识更多妹子
水晶虾饺儿,7.1,2017-3-25 17:35:12,禁烟令让人不再限于小格子里，到有了相互取暖的感觉。
feifaye12,7.0,2017-3-16 1:07:25,有点味道，很细腻～
妙妙兮,8.0,2017-1-4 18:55:07,这才是爱
谢稚珊,8.0,2016-12-29 15:19:33,这个世道，志诚的不倜傥、倜傥的不志诚。标致的欠老成，老成的不标致。痴心的无家世，富贵的不痴心。温柔的没主张，有主张的忒横。端的是：满目河山空垂泪，放眼神州更无男。
鲍鱼鱼翅汤,10,2016-12-10 0:05:38,从此爱上了张志明！
Florababy,8.0,2016-11-15 21:38:22,我也大他四岁，他也高我很多…
众人退至吾身后,7.0,2016-10-23 9:49:29,在这种节奏下的都市男女，有好结果不是一件容易的事。
