Cuchilo,8.0,2019-1-5 12:18:21,这种老人与儿女相处现在都是个棘手的难题，何况还是在语言不通的美帝那边。电影的寓意很久不会过时。
众人退至吾身后,8.0,2018-12-2 21:43:53,二十几年前的电影， 对现在的家庭生活仍有警醒意义。
wonka,6.0,2018-10-21 17:59:11,也不知道是期待太高还是年代有点久了，感觉味道一般。郎老先生的演技还是很动人的，除此之外就乏善可陈了，名字起得好，但美国人真的明白么。可能当时还没有太多表现中美文化差异，移民一代问题的电影吧。有一点政治倾向，不知道是不是有意为之，你怎么不说台湾戒严直到87年才解除呢。老爷子的功力实在是...太能忽悠美国观众了，前几年那个女太极拳骗子和弟子的表演是借鉴了这个么，本来还挺严肃的片子，弄得人要笑出来了，算我少见多怪吧~
随风819,7.0,2018-10-13 17:23:54,其实即使在中国，老人住一起也会有很多矛盾，更何况中西文化的巨大差异，完全无法交流啊。老了之后的孤独寂寞，真的无解。
touya,8.2,2018-8-30 14:39:12,推手这个概念非常好，不论是放在亲情、爱情或者是in-law这层关系上，何况在加上中国老人在美国生活的背景。虽然后半段把太极过于神化，剧情也有点刻意，但还是会跟着解气，跟着唏嘘。那小孩我还以为是李淳呢，竟然是他哥哥~
Aee3519479,8.0,2018-5-3 15:00:59,节奏缓慢，要慢慢看
只是孩子,8.2,2018-4-25 19:48:57,我们总是在分歧和推搡中认识彼此，或分离或郁结，保持自我，协调平衡，很难，还需努力。
羊点,7.0,2018-4-8 23:09:04,能看出导演的生涩以及拍片成本不高，当然还有努力展示中国文化元素为噱头，有故意卖弄的嫌疑，当然比起张艺谋那种故意把愚昧丑陋的一面展示还是好多了。
成龙VS史泰龙,9.0,2018-2-21 23:01:58,开场的肢体语言冲突才是最大看点 看似一部简约的电影却透露出深度的内涵思想 虽然是一部老片子 但是拿到当今也值得观众深入的反思...
小四6171,8.0,2017-12-16 18:41:30,除了太极功不科学，都挺好。印象深刻的是那个台湾老板压迫工人，和嘲笑共产主义者的嘴脸，看来蒋介石洗脑也厉害。毛派革命分子，变成房地产大亨，如果有比共产党更遭的东西，那就是前共产党员变成走资派。美国教小孩，好像做买卖，什么都谈条件。美国人对孩子挺客气的，不把孩子当孩子。这就叫民主，民主就是没大没小。生死有命，富贵在天，想开了也没什么。在我的教养里，一个人应该关照父母，就像父母关照你一样，父亲是我生命的一部分。
hooq,8.5,2017-10-8 11:59:30,家庭三部曲第一部，展现了中西文化冲突和家庭矛盾，让人深刻反思。
随便帅下,7.9,2017-8-15 14:28:37,老人的表演很可爱，确实老了情绪表现有些像小孩，哈哈。
屠龙侠912,7.1,2017-8-4 17:41:38,大概是我看过的最憋屈的片子。对太极拳的展现过度夸张。
江小岸,9.0,2017-7-13 7:59:06,李安绝对称的上是传播中国传统文化的大师，并且在传播时做到不卑不亢，而非国内一些导演乐于亮丑来搏取眼球。本片从太极拳入手，深化到夫妻、父子的家庭关系，又反映了海外华人特别是老人的一些普遍现状，入木三分！
chino1462675,8.0,2017-7-3 1:12:49,李安在其处女作就已经展现出了独特的人文情怀的魅力，尽管导演的技巧还不够娴熟，但诚恳的态度，真诚的表达和独特的中西方视角让这样一部“糙制”的电影有数不尽的闪光点
wakan,7.9,2017-6-24 1:18:16,父亲与家庭，请认准李安牌
睡人Sam,7.0,2017-5-23 22:14:18,作为李安的长片处女作，已经可以看出他在处理细腻情感上的功力。但在故事的处理上还有许多刻意乃至不自然的地方，特别是朗雄的角色设定，简直是中华文化上下五千年会行走的结晶啊...
香蕉个八辣,8.8,2017-4-6 6:42:16,许多人都在说移民国外有多好云云，其实在国外当地的华人圈很小，你可能能接受他们的生活习惯，但你终究还是个外国人，真正的好朋友还得是同胞。
Sweetzhu,7.4,2017-4-2 21:37:13,通过洋媳妇和中国老大爷生活习惯的反差反应中西文化的强烈冲击，但我觉得国内现代的年轻人更多的被西化，而不是接受传统，这种反差如今不止仅出现在国外了。
Master_Ethan,7.0,2017-3-23 21:49:19,No country for old man. 独自到来，独自离去。
周星馳,7.5,2017-3-16 22:07:32,主题平淡无奇，讲的是洋媳妇和中国爹的相处到中洋夫妻的日常以及在异乡的中国老年人的生活，但是能把推手这一中国传统功夫蕴含的内涵和家庭生活、婚姻以及中西文化巧妙地互文融合，就立见新意。
无名指L,8.0,2017-2-27 19:40:43,东西方文化的碰撞，难
夏目透,7.6,2016-12-31 1:06:15,难以割舍的是感情
echoshe,8.0,2016-12-16 11:05:09,简单的东西文化的碰撞在李安的手里却拍出了家庭的独特的味道。李安早起的作品，丝丝入扣。但更喜欢他的冰血暴。
神秘的L君,8.0,2016-11-27 20:48:10,李安第一部拍给西方人和中国人同时欣赏的好电影，东西方文化的差异，生活习惯的不同所带来的矛盾与冲突， 怎样在这之中找到一种平衡，李安进行了一番颇有意思的探索，达到这种平衡的最佳办法——推手
燕子与芦苇,8.0,2016-10-11 17:13:02,李安家庭三部曲第一部
瀛26000,8.1,2016-7-27 15:27:35,单看片名和海报的话会给人一种这个讲一代宗师传奇故事的错觉，其实是个讲中国太极大师年老以后跟儿子在美国生活的故事；李安将自己国内外生活的亲身感受融入到影片创作中，可能正是因为有过在这种有着强烈文化冲突的环境中生活的经历，才能把人物形象和心理活动刻画的这么细致入微吧，作为电影长片导演处女作，已经隐隐能看出大师风范了
巴登夏日,8.3,2016-7-19 10:41:30,很好，公认的佳作
斯水年华,9.5,2016-6-22 22:32:25,无处不在的东西方文化和思维方式的冲击还有李安的诙谐幽默小桥段
梁思景,9.0,2016-6-18 1:28:01,第一部电影就拍得那么好，富有生活气息和洞察
小强中士,10,2016-6-14 22:39:51,只有李安和朗雄一起才有这感觉，看的太舒服了。推手也和人际关系一般，有进有退。
Anhui,8.0,2016-6-11 9:31:45,中西文化碰撞，很有特色！当年看了不少李安。洋媳妇与中式爸比，难免！
炎日,7.9,2016-6-6 23:11:25,中西文化的大冲击，没有谁对谁错，最艰难的还是无法交流，在异国他乡的寂寞又是如此艰难，找一个知己，找一个伴侣或许就是另一个开始。
撒尔魔,7.0,2016-5-20 16:51:36,李安教你如何边带孩子边拍电影，了不起。
SuperCat,8.0,2016-4-25 0:30:59,温润如玉的佳作，李安对中华文化的真爱和对美国文化的深刻理解，和剧情简直完美地融合在一起了
马克杨,9.0,2016-3-31 23:31:33,简直是写出了新老一代移民的心声。。正在经历同样的阶段，太写实了
来自大巴山的玉面飞龙,8.0,2016-3-28 15:22:42,描写得东西方文化的冲突，还有老年人的心态，结尾不错。
丸剑痕,8.0,2016-3-26 21:55:03,《推手》作为李安的父亲三部曲首部，矛盾冲突最显性，最激烈，也暗喻更多人际关系的处理方式。以古拳理喻人生，并带出两岸人民的乡愁，属于中华文化的那骨子里头的精气神，呼之欲出。
足蓝羽,8.0,2016-2-26 22:13:30,同样是父亲三部曲，这部电影的对白就没有那么苍白，而是满含韵味。不过这部电影里表现中国父亲和外国媳妇的冲突，以及和孙儿的关系都稍显力度。郎雄真是个好演员，每个角色都让人印象深刻。故事里的中国老板也是活灵活现，感觉比和儿媳妇的冲突要鲜明多了。
·DHW·,8.6,2016-1-22 3:54:58,郎雄演的传神，两种文化的冲突，家庭的冲突，旧时代下生活过来的旧人对过去与未来的看法，以小见大，导演处女作，独有的韵味，李安大才。
Oriens,7.0,2016-1-11 14:51:24,比中西文化冲突更剧烈的矛盾是父子鸿沟，归根结底还是新旧差异。电影的核心就是戏剧冲突，李安从首部长篇开始就奠定了其冲突发现者的角色，和第五代导演取材从乡土日渐转向借用经典戏剧冲突相比，李安的视角更低，更擅长在日常生活中去挖掘，创作导演。
番茄的梯子,9.0,2016-1-9 19:41:10,老年人失去了社会价值，就会被遗忘与抛弃
lbtz,3.0,2016-1-2 21:58:55,父亲三部曲的喜宴和饮食男女都很喜欢，但对推手完全无感。
火麒麟ST,8.8,2016-1-1 11:07:39,中西冲突三部曲第一部。李安拍这部处女作时真的很差钱，有些部分拍的不尽人意，比如儿子一气之下摔餐具那段，摄影就很一般。但整体来说还是很出色，光是剧情和表演就足以让这片子成为影迷长久的谈资。在这片子里李安想说的东西太多太直白了，还好这片子还是叙事先行，要不然就成了中国第六代导演普遍的隐喻批判大于故事叙述的风格了
filmman,7.9,2015-12-13 18:32:10,中西文化冲突，中国老人的气骨和牺牲，尽在点滴之中。
赵小威威,7.5,2015-12-12 1:39:09,李安的电影从来就不缺少戏剧冲突，作为导演处女作，借太极推手来喻你来我往的父子关系，家庭关系以及文化隔阂，有些细节做得稍显生硬。“父亲三部曲”有郎雄一半的功劳！王莱也小有惊喜，印象最深还是她在李翰祥电影里的老鸨★★★★
牵机,8.0,2015-12-4 20:08:38,李安的电影，直击灵魂和现实。
anelka17,8.4,2015-10-24 17:40:39,看着真心塞
steven1928731,8.0,2015-10-17 6:29:17,李安对中西文化的观察和体悟真是妙到颠毫
夏柑糖_y4,8.0,2015-10-9 12:39:30,有点虐心，老头子演的真好
夏柑糖_y4,8.0,2015-10-9 12:39:02,有点虐心
樱木花城,8.2,2015-8-26 19:39:19,李安“父亲三部曲”的第一部，给人一种深入浅出的感觉。在反映中西文化冲突的同时也赋予了片中人物一个看似美好的结局。李安的留白风格在这部电影中已经初见端倪。而且这部电影的台词也是很有味道，需细细品味，如品茶一般香醇。郎雄和饰演陈太太的老演员都奉献出了精湛的演技，其二人的对话也是独具中国特色，话中有话，回味无穷。这部电影戏剧性上比后两部略逊一筹，但却是最直白的一部表达李安电影风格的作品。
MagicWinds,8.0,2015-8-22 22:09:42,只能同患难不能共享福的谶言有时连至亲也躲不过，不过文化的差异让我对晓生深深的痛苦倍有感触。一身绝技居然是为了逃避苦难现实的一种方式，擅长的推手推得开自己身边的危险却推不开妻子的有形伤害和儿子的无形摧残，一生在躲避他人，到头来却要躲开最亲的人，功夫越深，无力感越深。好在导演心善，还给我们留了美好的想象，一句“没事”是我今日听见的最美好的句子。2015.08.22
无人用电锯,8.0,2015-7-31 19:57:30,朱老师这样的高手在时代上也不好混啊。片尾再也含蓄不了的父子之情好感人。
s-arah,8.6,2015-7-2 21:21:03,生活细节描绘的够细腻，除了片中几处有点夸张以外...
我是Eric,8.7,2015-7-2 12:47:39,在剧情流转中能看出李安的力道。
单雨落,8.0,2015-6-16 9:22:21,李安太爱这种冲突的故事了，同时还神话了中国功夫，剧情推进不急不缓，婉婉到来，再轻松背后引起深思，但最后能给一个不错的结局也算可以。
三木1115,9.0,2015-5-29 0:29:52,1024
