大西洋两岸,8.0,2019-5-16 13:57:03,应该是5年前只打分没评，昨天赶着回看还打8分。除美国往事没看过赛尔乔莱昂内尔的西部片，但我认为本片在中国西部片很难超越、独步一时，与科恩兄弟相较也毫不逊色。剧情从宏观到微观都不落俗套，节奏力度都很棒，既鲜活深厚于一体，笑点燃点都有，梗虽不及疯狂的赛车多但也令人印象深刻。表演也不错。这几年黄渤有些飘和油，宁浩也开始圈钱，徐峥虽然声色犬马不误但演导制业务能力还是稳中有升。短短6年中国影市堪称气球，放现在能破40亿。
xiaotu0o0,8.4,2019-4-30 9:32:44,因果循环
IMAX-让梦想更真实,8.0,2019-2-17 15:53:00,现实露骨，暴露人性。将西部拍出了无法之地的感觉，希望未来有更多的西部电影
善良的小马哥,7.0,2019-2-7 16:22:38,黑色犯罪型的影片近几年国内比较流行，形式内容上也更加大胆，准备去看看宁浩的新作疯狂外星人。
细路仔之魅开两度,7.0,2019-1-6 22:43:28,有风格，有性格！但剧情单薄一些
芥末味爆米花,8.0,2018-12-18 22:16:30,无人监管，无法无天！坑蒙拐骗，尽显人性！
JasonRobot,8.1,2018-11-29 22:39:37,中国也有西部片，大漠荒烟的风景加上西北口音和彪悍的动作，很有一番原始野性的粗犷味道。剧情设置很有意思，除了客串的两位以外，十个人被命运纠缠在一起，冤冤相报最终只有一人生还，在危险的环境中将人本性中的善恶表现的直击人心。
weedlava,7.0,2018-11-25 10:50:32,有些笑点，但是感觉剧情很突兀，不够流畅。
死旋,9.0,2018-11-19 23:43:41,中国的西部片很多都拍得不错，可能是因为揭露了太多现实有时候我们很震撼，也很无奈，人和动物的区别是人不自私，人有情感，有良知。
_Pooh,8.0,2018-11-9 21:03:28,徐峥是优秀的啦，他的电影还是有他自己的味道的，多数题材都是有意义想反映点什么的，鼓掌
·DHW·,7.9,2018-10-6 2:43:56,还不错的公路片
·虫虐·,7.0,2018-9-22 22:47:41,魔鬼城，巴里坤，漫天飞沙的新疆～ ②-1.89
Treise,8.8,2018-8-10 18:03:12,未评分
过千帆,7.0,2018-7-25 23:23:18,补评
118号元素,8.0,2018-7-17 15:54:17,不错 风格像老无所依
奥瑟雅月汐,8.1,2018-6-18 20:59:59,原来被禁这么久是因为cut片形式的啊，宁浩疯狂系列的成人暴力版，淡化了喜剧效果但是还是有黑色幽默，所有角色除了徐峥都一嘴方言挺有喜感。
oleana,8.0,2018-5-5 10:18:52,就冲一点，主角的改变，人性的升华，相比那些从头到尾高大上的英雄更能让人感动，这一点能做到的电影纵观世界也并不多。
阿鲁卡多,8.0,2018-4-1 21:46:38,你还差我五十呢，我给你保密呢
Marssi,,2018-2-17 21:15:35,中了好几枪都跟没事一样
小笑大王,7.8,2018-2-8 18:10:47,进了无人区就没好了？（爱奇艺下载）
REVELER,9.0,2018-1-13 18:45:35,大陆真的很需要这样的类型电影
noucampal,7.9,2017-10-8 23:55:08,螳螂捕蝉黄雀在后
太阳与星尘,6.9,2017-7-31 23:42:26,论律师人生观价值观的重要性
第九门徒,7.0,2017-7-17 21:45:19,对剧情映像并不深刻
