东方可乐,5.0,2019-3-18 13:33:33,有点楚留香传奇的感觉，你妈的，整部片子瞎几把扯，最后说都是刘青云设计好的，编剧有病吧
西西里的瓦力,5.0,2019-1-10 16:58:08,故事讲到哪儿，拍到哪儿。有一个梁朝伟吊威亚穿帮镜头。
YUKI-Dong,8.1,2019-1-3 8:51:51,出来混，迟早要挂的。。。
寒武,8.0,2018-12-24 1:02:43,可惜了，这么好的电影才看到，之前一直有点拒绝。缺点是故事讲的好匆忙，很多地方可以停一停，表现的更细腻点，会是经典。
热血地狱,7.0,2018-10-26 21:11:03,这片神奇.........
随风819,7.0,2018-8-28 5:56:50,看的有点忘了
雷天鸣,6.4,2018-5-8 16:16:09,可以一看
我在远方,10,2018-5-6 0:11:02,几乎完美的片子，感觉刘青云没死，故意让梁朝伟当替死鬼。
頭面人物,7.4,2018-3-25 16:50:00,在遥远的1998年，可以算是类型片的先锋之作了。牢房粉尘里的对决，结尾的镜子厂大战都非常的银河，幕后老手掌控全局的设定也非常宿命。几个人物生的苟且死的随意，还是让一场黑帮肃清大戏格局小了很多。伟仔和黑仔当年嫩的出水啊，让角色都有种刻意扮狠的错觉了。
格子810189,8.2,2018-1-16 13:49:03,关于港澳黑帮片的巅峰类作品，Cult血腥场面十足！ ​​​​
忘穿裤衩,8.0,2017-12-30 9:11:10,很好的故事
touya,8.1,2017-10-20 16:18:34,银河初期的作品还是很妖冶，虚实交错，相互算计，最终都算不过宿命。当然太“一切尽在掌握”的设定也让故事有点飘，风格倒是立的很稳。刘青云这光头形象真是气场太邪了，那个时候好演员搁在一起演戏就是能火花四溅。
寂寥一生,8.4,2017-8-28 17:11:56,宿命！黑暗！梁朝伟，刘青云真心演技爆棚！
梦之峰,7.0,2017-8-15 21:50:57,表达的什么啊
不羁de天空,7.8,2017-7-28 23:27:02,十几年没回过澳门的老东西，就是这么厉害！
社上君,,2017-6-21 20:28:04,在华语电影界，很出色的悬疑。但是，什么命运之类命题的说法，本人却不怎么感冒。
司小幽,9.4,2017-5-12 12:52:14,双影帝飚戏，全程无尿点，音乐超赞，场景别致~尤其是最后镜子对决！！！
四条棍744254,8.0,2017-3-30 14:40:52,短小精干，浓缩的都是精华
Homkee,7.0,2017-3-16 23:00:38,个别配乐还是蛮出彩，但是太多反而容易疲劳。情节紧凑却略显拖沓。任人摆布真不是个滋味。
衰仔乐园,8.5,2017-1-24 20:59:43,很悬疑。故事背景其实很简单，但是情节发展却很紧凑和悬疑啊。
小溪1981,9.0,2016-12-30 15:50:59,完美的银河电影。演技和情节真的很完美
水·无痕,7.0,2016-12-9 8:36:21,刘青云眼神阴鸷，梁朝伟混迹两道，很聪明的年轻人，却都是别人手中的弹球，运动轨迹不由自己控制
百家影评,6.0,2016-12-3 13:33:29,多年前看过如今已无印象，属于看完就忘记讲什么的平庸电影
JAY2090769,8.1,2016-11-29 20:10:15,这部暗花完全超出我的预期，故事设计的相当紧凑，只是最后的镜子枪战实在拖沓，着墨过多，另外就是一些地方存在取巧。不过已经拍得很有意思了，最后王天林的做人不要聪明过头实在点题，因为过了头总会有意想不到的事发生，应了那句话：最屌的都是背后的人。
影神,8.0,2016-11-6 23:41:09,黑色，冷酷，暴力，银河映像风格初成型
荫木,,2016-10-21 23:10:27,很喜欢这一部。梁朝伟展现出了从没见过的一面。
安菲尔德,7.5,2016-10-16 22:49:05,这个局有够狠，同情梁朝伟，不过没查看刘青云的包是啥有点扯。。。
lee原名被抢,7.5,2016-10-16 22:48:52,银河出品，必属精品，但是远没有达到应有的高度，浪费了一个好故事，尤其是背景音乐长时间滥用及宏大旋律的滥用，还有最后的对决中的镜子，都是硬伤。。
掉色的彩虹,9.0,2016-10-5 22:35:03,深深的套路和宿命。
118号元素,8.0,2016-10-2 20:43:39,"非常不错,结尾稍稍差点,前60分钟的剧情安排非常好"
飘舞秦,7.0,2016-9-29 4:42:27,年轻的时候看电影选题材 此类型在女孩眼中属于烂片系 现在重看 感觉完全不一样 看的点不同 美女是比较知道啥是美 电影也如此 当年看电影 觉得这水准很普通 对比近些年面上的影片 才知道90年代这些平平制作甩现在脑残片几条银河系
大羽王者,8.0,2016-9-4 17:58:45,银河映像所有电影里我最喜欢的一部了（超过枪火、黑社会，暗战），我看了好多遍。黑、酷、冷的黑色电影风格发挥到极致，故事曲折翻转无懈可击，人物内心复杂多变梁朝伟表演尤其精彩，这估计是梁朝伟平生演技代表作之一了。而且要注意到这部电影的导演是游达志，监制才是杜琪峰，游达志早已经离开银河映像 ，银河映像也有点不复当年之用，感慨。
Celen,7.9,2016-8-6 21:16:14,重温一遍，感觉真好。伟仔被市民刘先生从头“套”到尾的故事。其实背后智多星应该是王晶的肥仔老爹么...
realhwq,8.2,2016-8-6 10:44:35,本片是类型杂糅的绝佳范本：警匪片的轴、黑帮片的魂，高潮段落是西部片的形式和《变脸》的致敬；更令人惊喜的是，落入漩涡&身份替换的警匪关系设计、无处逃遁的结尾和主题，简直就是《无间道》的雏形。导演将暴力元素发挥到了极致，不断翻新暴力手段，感官极为刺激；但黑色电影的灯光、高潮场景的镜像，悬疑气氛、西部片的仪式感又都控制得极好，让动作场面也颇具诗意。惊喜之作！
银月之魂,7.0,2016-7-29 21:39:14,很不错的脑洞体验
AndyZJ,7.5,2016-7-18 10:34:01,经典港片的赶脚呼之欲出，带点古惑仔的暴戾和计中计的谋略，完美诠释了什么叫“螳螂捕蝉，黄雀在后”，节奏控制地还算不错，中段前的铺垫到之后的那段港口戏过渡地很自然，不露痕迹，最后的枪战虽然和之后的《神探》神似，不过那个直接剁头有被惊到。结局大赞。梁朝伟表现比刘青云出色。
mmyyymm,8.8,2016-7-6 23:34:46,所有人都是洪先生的棋子。。这一环扣一环的计谋实在好看，镜子间对决稍拖沓
海贼王路飞,8.0,2016-6-16 2:24:44,澳门大哥们被一个老掉牙的老江湖玩弄灭帮的故事。。。 刘青云的提包里一开始就装了基哥的头了吧？我不理解的是为什么伟仔一开始就看他不顺眼赶他走还让他丢下包却根本不关心包里装的有什么呢？如果从一开始他就发现这个包里的人头，洪先生的整个计划还能顺利进行下去吗？ 一个包被扔在地上这么久没人捡或是打开看看我还可以理解为这个包可能有专人看管，但对待其他人都这么狠的伟仔居然不搜自己一眼就看出是杀手的刘青云的包还刻意放他走是何用意？
独自哥哥,8.0,2016-5-22 15:10:59,http://murl.tv/grC1
perfect当,9.0,2016-5-18 21:02:37,……厉害。容我压压惊。这电影放到现在的影院。碾压无疑。
大梦一场的umaso小姐,8.0,2016-5-18 16:26:55,套路好深啊
无人用电锯,8.0,2016-5-17 11:37:57,两位男主角都是超喜欢的演员。
Samantha113,8.0,2016-5-7 22:12:41,我懂导演想要表达出宿命的感觉，但这死法真是令人掀桌
filmman,7.5,2016-4-25 21:14:16,结局唏嘘，每个人都认为自己很聪明，却没想到螳螂捕蝉黄雀在后，不过是一个棋子。
念及己名,8.0,2016-4-25 16:04:22,暗处之花，芳尽长夜。
skyblue107272,8.0,2016-4-22 0:20:00,隔了这么多年在大屏幕上看，一点没有觉得黑暗能少一点，真是暗无天日到无路可走。
火麒麟ST,7.9,2016-4-19 21:38:11,即使在一贯特立独行的银河映像的作品中，它也显得十分独特。最暗的夜，最明亮的刀刃
血奴鹦鹉,8.0,2016-4-19 17:28:59,《暗花》就是一部令人惊艳的电影。电影一开始就告诉所有观众：“暗花”的意思是指黑社会暗底下为杀一个人所出的价码，这部电影所讲述故事发生在澳门，是一个关于黑帮间利益仇杀的故事，而且整个故事并不长，不过区区10小时间。一切准备就绪，观众们似乎只需坐等影片结局的火拼就足够了。与所有银河映像的电影一样，只有一个结局是远远不足以满足游达志的野心的
Jim·k,8.0,2016-4-17 0:15:42,BGM果断好评！梁朝伟VS刘青云，两大影帝的巅峰对决，最后谁也没活下来...邵美琪里面印象挺深的，一直在那吐啊叫的...
很简单的哎,8.0,2016-4-14 22:48:39,很有味道，仿佛一个人分裂成两个，彼此对立而又统一。
绯色_神仙,7.0,2016-4-12 20:03:17,恩，精妙的陷害计划，不过感觉镜头好抖，看起来不舒服。
tycoon,7.7,2016-4-5 21:09:56,在江湖老大面前，没有主角。另外，电影反其道而行之，通过维和讲内斗。
莈洧洳菓,8.1,2016-3-29 17:25:05,黑暗里最黑的花
