-Simon-,7.4,2019-5-24 11:15:58,哥哥演什么都很投入和入戏，入戏太深
什么都不叫事儿,8.0,2019-5-8 22:23:52,不错，怀念张国荣
绝对零度,8.7,2019-1-7 1:24:41,张国荣一人演技撑起全场，佩服
MsJ·失忆的画匠,7.1,2018-11-27 9:05:59,天生杀人狂 其实我也可以做个好人
河畔上没有悲伤,7.9,2018-5-22 10:47:25,哥哥的演技如Rick杀人一般到了走火入魔的程度，将心底成瘾的杀人狂多面地呈现在观众面前。也许是苗志舜这个高手激发他所有的潜能，结局苗督察开枪杀了Rick，相信也受到了Rick的影响。
烦死嘎了,8.6,2018-5-9 10:13:33,张国荣在剧中奉献了令人震撼的疯癫表演，只可惜扮方中信等警察演员的表现略显平淡，无法与张国荣的角色形成共振。因此影片少了一点《喋血双雄》和《暗战》的韵味，多了一份反英雄的邪魅。
无名指L,8.0,2018-4-19 22:29:49,张国荣完美演绎，他的魅力，即使出演坏人也无法阻挡；片中警察好恶心...
水手辛伯达,7.7,2018-3-2 2:58:40,红花还得绿叶配，张国荣够出彩，可惜另一主角方中信实在不配，其余男女配角更不忍直视，白瞎了张国荣的影帝级表演了。
天秤的一端,7.7,2018-1-9 10:25:23,最值得看的是张国荣的表演，可能那个时候他就已经有抑郁的症状了，表演之中可以觉得完全是真实的自我。
小姜1169106,7.0,2018-1-6 15:57:17,怀旧
yoh,7.6,2017-12-16 20:37:47,支持反派系列。
喜欢原谅别人,6.0,2017-11-12 20:04:56,正反主角都很有气势，不过剧情有点弱了。
东方可乐,7.0,2017-10-17 20:04:06,香港警察火力真是相当差啊
BTH995,7.6,2017-10-15 22:00:54,香港影坛罕见的由双雄戏变成独角戏的佳作，也看到了哥哥出色的表现。然而现在看来哥哥演的瑞克性格到了变态杀手时候多多少少还是被赋予了浓重的主角光环了。
M_1412211151215543517,7.0,2017-10-2 9:45:38,难得反派的张国荣。
tycoon,7.9,2017-4-16 14:13:32,1996年IPSC香港公开赛疯警察的出现抹杀了一次精彩的比赛，留下最后一个回合，彭在苗的犹豫下出手，改变了彭的人生，以前那个改装枪不见血的专家，迷恋上了杀人的快感，挣扎演变成疯狂。警察在没有证据的情况下一再逼迫，让场面愈发难以收场。最终在电影院完成了之前欠下的回合。枪不会杀人而是人杀人，但那第一枪之后的感觉本来就很少有人能体会。
声色画报,7.9,2017-4-1 0:49:48,枪如魔戒，人入魔咒，可谓不疯魔不成活。这是一出悲剧~演员们发挥得都很好，哥哥再一次演绎了心魔戏。影片有些地方交代不清，含糊过去有点可惜。
装逼的碗有毒,8.4,2017-2-25 23:05:58,全片只看张国荣，心疼张国荣憔悴的样子。女主真是拖油瓶啊。
自由彼岸,7.2,2017-2-10 15:36:00,张国荣后来总演这种角色，能不抑郁吗？
VanessaSmiley97,7.1,2017-2-5 13:30:32,正统舒服的叙事，女性角色相对旁设。方中信饰演的警察作为彭弈行性格的反面不够丰满，立体性略显不足。张国荣的个人魅力超过了情节，观众的共情倾斜较大。
箫箫,8.8,2017-1-29 11:43:54,手法简单但是很有效，喜欢快速的摇镜头和放大呼吸声还有光影的运用
supersuper,8.0,2017-1-22 3:49:20,张国荣确实是个难得的好演员啊
341figo,9.0,2017-1-9 12:46:34,重温张国荣的经典之作，致敬！越来越弄不清楚，究竟是因为张国荣本身精神就有严重分裂倾向才把角色演绎的那么真实，还是因为演出了太多这样的角色让自己一步步走向最终的结果
It_is_AnMic,7.7,2016-10-13 15:51:47,两个大帅比，国荣演技爆表
吐槽君矩阵,7.0,2016-9-17 1:16:38,除却张国荣真的是一部不怎么样的电影
青羽长空,7.5,2016-6-16 23:30:11,上影节第一场，开场之后张国荣出现的第一个镜头好多人尖叫鼓掌，这也是只能在电影节感受到的氛围吧。整体不算多么优秀的作品，但是纯正港片的味道，已经很多年没有看了，所以来看老片子感受一下。粤语原声加繁体字字幕。张国荣的独角戏，眼中难以遏制的迷茫和疯狂，如果真的身为影片中他的女人，谁都会为他生为他死吧。按道理这种双雄设置应该势均力敌，方中信虽然不错但是没能对抗住张国荣，演起来这样一个逐渐走向崩溃的杀手在人群中也是发光的。
filmman,7.0,2016-5-16 12:54:07,张国荣的独角戏，讲述了一个人如何败给自己心理的恶。
渡渡鸟dodo,7.5,2016-5-2 8:44:49,很好的枪战片，哥哥演的很棒
carening,8.0,2016-4-13 21:33:22,张国荣演得好
我爱花香不爱花,9.0,2016-3-30 11:29:09,喜欢喜欢喜欢~~~
莈洧洳菓,8.0,2016-3-29 17:37:14,双雄决渐成独角戏
