李比廉姆,8.1,2019-4-2 13:42:05,每当回忆起青春，我就觉得，这应该是人这一辈子最心安理得的放肆时光了。随便干点什么事情，日后想起来都不说是错的，只当是成长的骨气。
飞的长颈鹿,7.0,2018-12-28 15:09:47,时代变革下县文工团青年的生活，冗长、闷。
hzsimonlin,8.6,2018-12-23 8:09:18,变成税务人员的赵涛合着〈是否〉跳〈搭错车〉里的舞蹈，应该是本片文眼。。
Lynchlin,8.8,2018-9-25 11:53:07,我国关于从文革后到改革开放，这种时代巨变描述最好的电影之一。从歌舞团的变迁看一个大时代的变迁
天秤的一端,7.4,2018-3-8 8:25:43,时代的印记很明显，贾导的音乐已成为他影片的一大特征。王宏伟的表演说不上不好，但隔着眼镜片总是让人捕捉到人物的灵魂所在，看作派始终对角色人物喜欢不上来。
Wind·kof,7.0,2018-1-18 22:57:06,讲的山西小城汾阳的两对恋人的故事，随着改革的浪潮，山西小城的路刨了填、填了刨，人也发生了翻天覆地的变化，最终四人走上了不同的道路。男主人公和导演贾樟柯稍后多次合作，女主路赵涛是贾樟柯的妻子，我觉得导演讲的是自己的故事，影片中男女主人公多次展示上世纪迪厅舞步，贾樟柯自称迪厅小王子，故事背景山西汾阳也是贾樟柯的故乡，这就是导演在讲自己的故事。
神經刀,7.3,2017-11-27 16:05:02,与《阳光灿烂的日子》在画面上形成鲜明对比：《阳》的色彩光线明艳，本片刻意弄出略掉色、灰暗的老照片质感。《阳》的镜头都充满动感的，本片绝大部分镜头，只要摄像机架好，对焦调好，基本就一动不动了（人物在走动），移动镜头几乎为零。典型的散文化叙事，得益于汾阳留下的大量老建筑，画面也有那么几分质感吧。
EndlessJT,7.5,2017-10-6 20:26:08,站台，要站多少的台、经过多少站台？你才会明白，你不过就是个普通青年！
xixi19840428,8.0,2017-6-11 0:40:23,兜兜转转，我们最终成为了曾经所厌恶的——普通人。
tycoon,7.5,2017-5-6 22:22:05,改革开放初期的山西汾阳县，文工团的年轻人们赶上了这股淘沙大浪。两队男女崔尹和张钟，在工作和感情上举步维艰。适逢文工团承包制，又是一轮艰难的抉择。有人继续跟团行走江湖，有人退团自谋生路。除此之外家庭内忧不断，环境使然，百废待兴。
睡人Sam,8.0,2017-1-17 18:54:53,和《小武》相比，这个故事堪比史诗。但摊子铺得太大，有的故事依旧讲得感人，比如那个木讷到让人心痛的三峡好人三明；而有些故事则讲的有始无终，也许我该鼓起勇气去看4小时的版本？算了，还是接着看《任逍遥》吧...
filmman,7.8,2016-10-1 20:10:41,时代变迁中的人们，对自由的憧憬，对现实的无力
woniu2048,9.0,2016-7-31 16:39:26,故乡三部曲之二，《站台》讲述的故事时间线贯穿整个80时代，用流行歌曲和政治宣传俨然成为贾樟柯埋设时间点的风格。不像《小武》讲述一个人、一个城市，《站台》几乎散焦地描写了一群人，互相牵扯又互相离开。每个人在不同的站台向过去告别，崔明亮和尹瑞娟分开了那么久，最终还是生活在了一起，而张军和钟萍却分离到音讯全无，崔明亮父母的感情破裂，不识字的三明下煤窑攒钱供妹妹上大学、文工团的公有与承包下的兴衰……与其说是人与人的告别，不……
