百家影评,7.0,2018-12-27 9:35:19,无论倪匡的编剧还是李小龙的动作以及他特别的演技，还是朗朗上口的主题曲配乐，都是时代的经典，也是往后各种影视剧争相效仿的榜样。
-IHI-,8.2,2018-11-1 12:17:13,H---《4089》
飞鸟与椰子,9.0,2018-8-13 13:47:29,龙哥真是，没办法，功夫之王无人能及，怒赞怒赞，太厉害了简直，还有苗可秀大美女电影里那个发型竟然也美，，
jensenyg,7.2,2018-7-20 20:15:32,作为一名移民美国的华人，仍不遗余力的在西方宣传中国民族精神，李小龙不愧是华人之光。
chino1462675,8.0,2017-12-17 11:34:21,早期的香港电影也许有很多不足，编导比较粗糙，不多考虑细节是否合理，但还是不得不称的经典，因为简单的表达其实最有力量。
Icmmer,8.4,2017-8-8 11:50:41,李小龙的陈真，让人看了热血沸腾，经典的音乐响起，从此，东亚病夫的招牌被一脚踢开。
丘处鸭,10,2017-3-22 17:33:50,真·经典
天刑巫,8.0,2017-3-22 9:03:30,曾记否面临枪林弹雨的凌空一跃
何翦燭,8.0,2016-9-25 22:58:06,拳拳入肉啊
wakan,6.4,2016-9-18 11:23:17,李小龙打爽了
瀛26000,6.6,2016-6-17 15:41:16,比全是替身的死亡游戏强太多了，和本尊的身手比起来，替身真是差太多了，可惜那二年人的演技；如今的大哥成龙在给李小龙跑龙套的时候可曾想过会有今天的地位，惊鸿一现还是很惊艳的
莈洧洳菓,8.3,2016-3-29 17:20:03,民族精神的最佳养料
草木知愁,7.4,2016-3-16 21:02:46,好多梗
KraT03,7.0,2016-3-6 11:04:48,怎么说 这部电影即使放在那个年代也不算是最好看的 叙事简单 同期美国电影在三四十年代就已经在叙事上大下功夫了 但是李小龙真功夫打得很好 结局的音乐和言语真的让我感动 值得一看
BiGTooTh2012,6.0,2015-12-6 21:23:54,5分钟就能演完的戏，硬打了快2个小时
慎重修改,8.1,2015-11-20 17:40:32,不卑不亢的一个人在战斗！演技在现在看来全是雷点，胡翻译和陈真明显太过浮夸，但不得不说，李小龙真是一身硬功夫！服！
-Simon-,7.4,2015-7-15 21:09:11,感觉没有猛龙过江好，演的有点过，表现的很僵硬的感觉，故事是好故事，爱国主义浓烈，但是情节有点傻傻的
超级天后,8.2,2015-6-5 14:35:47,中国人不是东亚病夫，李小龙吊炸天了。李小龙其实影片很少，但他和玛丽莲梦露，詹姆斯迪恩一样死在自己如日中天的时候所以直到现在仍被推崇之至。确实是李小龙打下了功夫这个标签，他的很多招牌动作仍然是外国人学习中国功夫要模仿的。不过李小龙的演技我感觉不好太做作了有点，看龙争虎斗的时候我就感觉很别扭，此片同样如此。
阿拉贡,6.1,2015-4-27 5:37:48,一代乔装大师陈真
