羊点,7.0,2018-12-11 23:50:54,没什么感觉，演技还可以。桂纶镁走路的姿势不好看，不自然。
狂热信羽,9.0,2018-10-14 22:07:56,张士豪牌复读机。。。
touya,8.0,2018-10-2 15:28:07,干干净净，不需要确切答案的青春。“你很好，可我还是喜欢女生”的孟克柔，“如果你开始喜欢男生，你要第一个告诉我”的张士豪，即使在这个夏天成为不了恋人，至少已相互交心，无论未来是朋友或是恋人，都是让人欣慰的。陈柏霖还挺让人心动的。
老羊,8.1,2018-9-19 13:52:16,许多年重看才发觉片子很短，正片不到81分钟（不演职员表），对高中生的感觉抓得很准，胶片摄影也充满着浓浓的怀旧感！
Aee3519479,8.0,2018-9-5 23:38:45,台湾的青春片拍的真的很好 一下就把你拉到那个时候
管自力,7.5,2018-7-23 12:43:26,孟克柔喜欢张士豪还是林月珍，这真的是个谜，孟克柔还是喜欢女孩子多一些，张士豪是喜欢游泳的大男孩，我也喜欢游泳，可游泳是孤独的运动。
咩咕哩,,2018-5-17 11:05:06,我叫张士豪，天蝎座o型，游泳队吉他社�~你到底要干嘛？我还不错啊~(✿◡‿◡)
觉醒的大雄,7.9,2018-5-13 20:52:44,简单的故事，淡黄的画面，随意的台词，慢慢回到自己学生时代的夏日午后…
supersuper,7.0,2018-5-12 22:23:27,喜欢那时候的桂纶镁
JasonRobot,7.8,2018-5-7 21:50:46,年轻总是让人充满无限的遐想，年轻人的心思总是那么纯洁可爱，我们沐浴着夕阳，向云雾飘荡的远方眺望，即使啥也看不到，却依然有一种青春的姿态。因为青春本就无所顾忌，是狂欢，也是冒险，是本就无所舍弃，想哪做哪的放肆。
lucifer1014076,8.0,2018-1-14 10:14:17,记得有人说《致青春》是文艺小清新，我反驳那算什么小清新？《蓝色大门》《最遥远的距离》《第36个故事》以及《男朋友女朋友》才算文艺小清新吧？对方回复，你干脆说你喜欢桂纶镁好了。我仔细一想，还真是。
飘渺的游侠,8.0,2017-7-7 17:32:38,台湾青春小清新电影，男主女主我都蛮喜欢。桂纶镁穿比较男性化蹦个脸，就真的满男性化的。不过涂上唇膏穿上彩色衣服就蛮漂亮。有青春期的冲动和迷茫，有蕾丝边的苦恼和困惑，有接受与拒绝的纠结，青春就是这样吧。这个夏天，什么都没做。看什么呢，什么也看不到。蓝色大门的背后，青春的甜美停驻。欢迎加我微信pmyx2015，交流分享优秀电影。
filmman,7.6,2017-5-30 11:38:26,台湾的青春片总是在孤独缺憾中充满成长的希望，就像是青春该有的样子
伦夕,7.6,2017-5-21 14:25:22,故事展现了一种久违了的清新质地，又用不同寻常的人物和故事把青春期那种冲动、无奈、不知所措的情绪表达的让人赞叹
J·D紫雲,6.0,2017-2-24 18:24:36,#Movie Today#蓝色大门#“我们会成为什么样的大人呢”？我想我是在一个错误的时间看到了一部正确的电影……突然好想翻以前的日记，看看曾经的我有着怎样青涩的成熟，看看是怎样我成为了现在这样的大人……
coleling,8.0,2017-1-15 20:05:54,不错，不过我觉得女二更漂亮啊
林子祥,7.8,2017-1-8 22:29:51,本片最大的意义就是开创了一种青春电影的可能性，没有狗血没有堕胎没有撕逼，只有青涩和真实感，当单车骑过街道，下午三点的太阳洒在前面的男生身上，一切都是那么美好，一切都似曾相识……
Kevin_凯文,8.0,2016-12-11 21:02:02,前几年看过，台湾的小清新电影还是很有意味的。那个时候的他们好青涩，但是也很真实
washighton,8.1,2016-12-6 19:41:49,青涩的回忆
吉树,9.8,2016-11-23 11:05:35,在高中时代唯一 一部看了10遍以上的电影，几乎可以记住所有台词。当时桂纶镁和陈柏霖都还不红……
邪恶的老杀,7.5,2016-10-2 10:40:03,基本上所有都会在成年后忘记自己在青春期曾经有过的各种烦恼，那时候的心情，喜怒哀乐，爱与恨。
羊点,7.0,2018-12-11 23:50:54,没什么感觉，演技还可以。桂纶镁走路的姿势不好看，不自然。
狂热信羽,9.0,2018-10-14 22:07:56,张士豪牌复读机。。。
touya,8.0,2018-10-2 15:28:07,干干净净，不需要确切答案的青春。“你很好，可我还是喜欢女生”的孟克柔，“如果你开始喜欢男生，你要第一个告诉我”的张士豪，即使在这个夏天成为不了恋人，至少已相互交心，无论未来是朋友或是恋人，都是让人欣慰的。陈柏霖还挺让人心动的。
老羊,8.1,2018-9-19 13:52:16,许多年重看才发觉片子很短，正片不到81分钟（不演职员表），对高中生的感觉抓得很准，胶片摄影也充满着浓浓的怀旧感！
Aee3519479,8.0,2018-9-5 23:38:45,台湾的青春片拍的真的很好 一下就把你拉到那个时候
管自力,7.5,2018-7-23 12:43:26,孟克柔喜欢张士豪还是林月珍，这真的是个谜，孟克柔还是喜欢女孩子多一些，张士豪是喜欢游泳的大男孩，我也喜欢游泳，可游泳是孤独的运动。
咩咕哩,,2018-5-17 11:05:06,我叫张士豪，天蝎座o型，游泳队吉他社�~你到底要干嘛？我还不错啊~(✿◡‿◡)
觉醒的大雄,7.9,2018-5-13 20:52:44,简单的故事，淡黄的画面，随意的台词，慢慢回到自己学生时代的夏日午后…
supersuper,7.0,2018-5-12 22:23:27,喜欢那时候的桂纶镁
JasonRobot,7.8,2018-5-7 21:50:46,年轻总是让人充满无限的遐想，年轻人的心思总是那么纯洁可爱，我们沐浴着夕阳，向云雾飘荡的远方眺望，即使啥也看不到，却依然有一种青春的姿态。因为青春本就无所顾忌，是狂欢，也是冒险，是本就无所舍弃，想哪做哪的放肆。
lucifer1014076,8.0,2018-1-14 10:14:17,记得有人说《致青春》是文艺小清新，我反驳那算什么小清新？《蓝色大门》《最遥远的距离》《第36个故事》以及《男朋友女朋友》才算文艺小清新吧？对方回复，你干脆说你喜欢桂纶镁好了。我仔细一想，还真是。
飘渺的游侠,8.0,2017-7-7 17:32:38,台湾青春小清新电影，男主女主我都蛮喜欢。桂纶镁穿比较男性化蹦个脸，就真的满男性化的。不过涂上唇膏穿上彩色衣服就蛮漂亮。有青春期的冲动和迷茫，有蕾丝边的苦恼和困惑，有接受与拒绝的纠结，青春就是这样吧。这个夏天，什么都没做。看什么呢，什么也看不到。蓝色大门的背后，青春的甜美停驻。欢迎加我微信pmyx2015，交流分享优秀电影。
filmman,7.6,2017-5-30 11:38:26,台湾的青春片总是在孤独缺憾中充满成长的希望，就像是青春该有的样子
伦夕,7.6,2017-5-21 14:25:22,故事展现了一种久违了的清新质地，又用不同寻常的人物和故事把青春期那种冲动、无奈、不知所措的情绪表达的让人赞叹
J·D紫雲,6.0,2017-2-24 18:24:36,#Movie Today#蓝色大门#“我们会成为什么样的大人呢”？我想我是在一个错误的时间看到了一部正确的电影……突然好想翻以前的日记，看看曾经的我有着怎样青涩的成熟，看看是怎样我成为了现在这样的大人……
coleling,8.0,2017-1-15 20:05:54,不错，不过我觉得女二更漂亮啊
林子祥,7.8,2017-1-8 22:29:51,本片最大的意义就是开创了一种青春电影的可能性，没有狗血没有堕胎没有撕逼，只有青涩和真实感，当单车骑过街道，下午三点的太阳洒在前面的男生身上，一切都是那么美好，一切都似曾相识……
Kevin_凯文,8.0,2016-12-11 21:02:02,前几年看过，台湾的小清新电影还是很有意味的。那个时候的他们好青涩，但是也很真实
washighton,8.1,2016-12-6 19:41:49,青涩的回忆
吉树,9.8,2016-11-23 11:05:35,在高中时代唯一 一部看了10遍以上的电影，几乎可以记住所有台词。当时桂纶镁和陈柏霖都还不红……
邪恶的老杀,7.5,2016-10-2 10:40:03,基本上所有都会在成年后忘记自己在青春期曾经有过的各种烦恼，那时候的心情，喜怒哀乐，爱与恨。
first菇凉,8.0,2016-9-11 23:06:39,异常真实的电影，所有物事情都可能是初高中时期发生的，没有过为浪漫的青春桥段，所以更能让人想起中学懵懂时期。。。配乐很岩井俊二，但我最爱的还是大仁哥笑起的酒窝哈哈哈哈哈，“小酒窝大人”
嬴政的崛起,8.0,2016-8-24 23:17:12,虽然没有共鸣但却深深理解
莈洧洳菓,8.3,2016-3-29 16:21:15,再也不会回去的was
raulhou,8.0,2016-2-18 2:48:31,每一位演员都是那么青涩，可是剧本与导演的优秀让我难以分辨他们究竟是天然的表现青少年的笨拙还是涌出了一股感情。另外，如果你喜欢男生了记得第一个告诉我哦
番茄的梯子,9.0,2016-1-15 13:05:42,我就张士豪，游泳队，吉他社，我觉得我还不错啊
步伐不停,9.0,2016-1-3 0:28:43,#分享照片#最好看的青春片之一
卡拉的打火机,,2015-11-26 6:21:31,三年、五年以后，甚至更久更久以后，我们会变成什么样的大人呢？是体育老师，还是我妈。
4183315,8.0,2015-11-21 22:51:30,看了，忘了有没有看完
声色画报,8.1,2015-9-26 0:03:35,什么是喜欢什么是爱？我到底爱女人还是爱男人？你想吻我吗？人生在不停叩问，青春期更是如此。走进纯真的困顿世界吧！
32想一个人看电影,8.0,2015-9-9 18:05:40,复读机
Hevoli,8.0,2015-9-3 17:48:58,像是从平凡生活中随机抽取的片段，没有前因后果和结局，对白简单甚至幼稚，但真实得让人会心一笑。并不是所有非爱情的男女之情都可以用“友达以上，恋人未满”来概括，在这份和谐又尴尬的关系中，最感动的并不是张士豪说出口的高调等待，而是那份因年少而有勇气并且千方百计给予的执着。
卡拉的打火机,,2015-7-28 23:13:08,看过的最好的青春片，没有之一。
卡拉的打火机,,2015-7-28 23:12:45,当林月珍让孟克柔去帮她介绍，她说不要，她又坚持，她又说不要，她又坚持。。。小孟该会有多么的伤心呢
绝望的麦子,6.0,2015-7-8 12:33:35,对不起。。。就是不爱桂纶镁。。。然后没看完。。没错，我就是主观情绪这么重！╮(╯▽╰)╭
Queen_Coral,7.8,2015-6-28 1:21:29,平淡如水的叙事，波澜不惊的剧情。但是因为是青春，所以无比真切。不像是看电影，而是看曾经的你，我，他/她。
天堂电锯影院,8.0,2015-6-14 23:56:03,青涩的青春
单雨落,8.0,2015-6-13 23:46:45,我变成了什么样的大人呢。
luquanbin,9.0,2015-6-11 21:31:52,青春就是这么纯粹。
JTimberlake,8.2,2015-5-31 0:18:54,我们会变成什么样的大人呢？
MARKSUN119,7.5,2015-5-12 12:50:23,纯洁干净，青春片应该这样
Torrace,8.4,2015-5-9 23:26:17,于是，我似乎看到多年以后，你站在一扇蓝色的大门前，下午三点的阳光，你仍有几颗青春痘。你笑着，我跑向你问你好不好，你点点头。三年、五年以后，甚至更久更久以后，我们会变成什么样的大人呢？是体育老师，还是我妈。虽然我闭着眼睛，也看不见自己，但是我却可以看到你。
月光晒干眼泪7,8.7,2015-4-3 0:30:36,想到自己的学生时代……
KNONM,,2015-3-24 13:35:00,但是总会留下些什么吧，留下什么，我们就成为什么样的大人。
IMYSELF,10,2015-3-9 14:21:24,我的最爱，永远的经典
泛滥xi,7.0,2015-1-26 22:16:46,高中的时候看过，过了很多年再翻出来看，脑海里满是那句我叫张世豪，天蝎座，O型，游泳队，吉他社，我还不错哦。台湾小清新爱情
贵久,7.3,2015-1-19 7:05:50,13年后再看这片 她的贡献不是仅仅发掘桂纶镁和陈柏霖 好像个蓝色柠檬一样的青涩的青春味处处浮现 是青春的小品 也是青春的散文 肥大的裤子 白色的校服 简单的言语 是多少人的青春？
琪佳,10,2014-12-6 11:38:02,早就知道这部，也看过好多影评~实在太可爱的两个人~小士和小柔~~
断歌,8.0,2014-12-5 22:11:36,标准台湾文艺小清新！
pan88,7.8,2014-11-23 15:11:13,怎麽臺灣的青春就那麽小清新
R,,2014-10-26 20:58:12,暖暖的片子，满分满分！好爱孟克柔啊！
robertjuve,9.8,2014-10-25 23:27:24,“夏天都快过完了，好像什么事也没有做，但是总会留下一些什么吧，留下什么，我们就变成什么样的大人。”一个叫张士豪的男孩，一段夏日的故事，一些看似苍白却叫做青春的日子。很多年后，仍然觉得这是湾湾青春片的上乘精品，纯纯的感情，表达恰到好处，远超后来的海角七号以及那些年。青涩的陈柏霖和桂纶镁，表演却好得让人给出满满的赞。
zero551,8.0,2014-10-18 23:50:51,蓝色大门，宝岛的青春电影。台湾青春电影的代表作之一，在这个物质泛滥的时代，用最朴实的画面，给我们描述了一个可能发生在任何校园角落的青春片段，任何人都能找到一些自己的影子。陈桂二人青涩的表演给影片增色不少，最后的旁白给影片做了升华。影片犹如一杯清茶，沁人心脾。
Pinkashes,9.0,2014-10-16 23:01:40,无他，年轻时候的热血总是在回忆中撕开灰色的现实的一个裂口，泛起温情。
