touya,8.0,2018-8-3 14:53:46,“男又好，女又好，我净係知道我钟意你。”袁咏仪好可爱。
卡门梗01,7.5,2018-5-6 17:38:12,原来是这么个故事啊……前半部分就解决了三角恋中的一部分纠结，要是变成顾家明、玫瑰两人都爱上林子颖，那就更纠结了。
马克杨,8.0,2018-5-1 17:58:07,最美的，是张国荣
nanako-chan,7.0,2017-10-21 22:58:06,个人觉得男女主的爱情来得有点突厄。。演员表演没毛病。
夏目透,6.9,2017-3-29 22:51:13,很棒的题材，袁咏仪表现不错~
瀛26000,,2016-7-23 21:48:20,听不懂粤语已经够悲痛的了，更悲痛的是连字幕也看不懂；不管你是男是女，我都喜欢你；陈小春这是炮灰么
五人,7.8,2016-7-14 10:37:48,老港片看起来最有味道了。
september077,7.9,2016-6-1 16:55:44,男也好，女也好，我只知我钟意你！
无人用电锯,7.0,2016-5-14 19:56:02,大帅哥张国荣，性感女神刘嘉玲，美女袁咏仪，很喜欢《追》这歌。
21世纪水桶人士,10,2016-5-8 15:30:50,亦舒笔下的玫瑰和家明在这部片里并没有在一起，整部片笼罩在一种取向不明的氛围中。“无论是男是女，我只知道我喜欢你“，这就是一个童话故事。好喜欢三个主角，张国荣的演技啊，每个眼神都超迷人。
SmilyHedy,7.0,2016-4-26 14:34:04,大圆满。歌曲很好听。袁咏仪，帅气的姑娘。
SuperCat,7.6,2016-4-9 2:52:03,瑕不掩瑜，剧本和影片的整体表现力还是不错的
鲜有废客,8.2,2016-4-1 1:14:43,浪漫搞笑同性恋片子的首选，即使是今天来看，依然如此的经典，片中张国荣、袁咏仪、刘嘉玲三人的戏谑而深情的演绎，竟让人感觉没有一丝一毫的做作，尽管表演上有些夸张，但是很自然，袁咏仪凭借当时的青春年华和白纸般的性格，自然演出了林子颖的呆萌和傻气。
我爱花香不爱花,9.0,2016-3-30 11:10:43,喜欢喜欢喜欢~~~
filmman,7.0,2016-2-23 20:08:26,又是一部张国荣的作品，不知道哥哥讲到电影中台词是一种怎样的心情。
lbtz,6.0,2016-2-10 17:44:35,一般
小四6171,8.0,2015-12-27 19:43:51,好看，笑中带泪。详见长影评。
tuweri,7.0,2015-12-16 22:45:37,男又好女又好，我只知我中意你。剧情一场简单直接，却不会抱怨和薄弱的剧情相比明显过长的剧长。每个人都演技爆棚，一洗港片浮夸搞笑的风气。
猫和青草,8.0,2015-8-29 15:59:26,男也好，女也好，我只知我钟意你！
·DHW·,8.0,2015-8-17 3:16:55,刘嘉玲还真不错。
M独立影评人,4.0,2015-8-13 17:58:33,我想说这个其实是钙片的启蒙片！
清风徐来,7.0,2015-7-25 20:13:01,一般般咯。
蓝色的天空1516544,8.0,2015-6-21 21:57:17,哥哥！
