Darknight,7.8,2019-3-18 10:52:42,看来在大学里面成天穿军大衣瞎晃悠的女生都是潜力股。
愚人制造angel,7.8,2019-3-15 18:56:38,努力过不问结果。
oleana,7.0,2019-3-12 22:10:25,1.5倍速有经典默片的效果。
wklzy,8.3,2019-3-12 0:42:32,未评分
Woovie,8.1,2019-2-28 19:12:56,钢琴都能造，日子还是过不好。哪里出问题了呢？
关儿,8.7,2019-2-21 23:46:04,用钢铁演奏出东北浪漫的悲歌。
兔子,7.0,2019-2-12 14:53:05,这就是那种电影院卖不出多少钱，但网上会一片赞的好电影
Tony_Lee_3,7.0,2018-11-26 4:22:06,伊朗又看的 20171218
路上鸣,8.0,2018-11-17 13:11:29,机械与艺术的碰撞，钢铁工人最后的倔强
mvlege,7.1,2018-8-6 20:59:21,在那段时期有多少下岗工人有相似的故事呢
奥瑟雅月汐,8.8,2018-7-31 18:07:45,好看，不是东北人也觉得这种重工业颓废金属风的气质蛮东北的吧，歌好听。幽默的外表下是深深的哀愁。
拽爷,8.0,2018-7-22 18:51:33,赞，有情怀有故事，有表演。具体已放公众号firewithyou
目乏胤喾,8.1,2018-7-15 18:10:07,现代人，坏了就扔，没有就买！已经远离了那个靠一双手可以解决所有问题的年代。那种信念已经被“发展”的滚滚车轮碾压的体无完肤。
seamanblowsnow,7.0,2018-6-26 13:25:40,今天看了第二遍，喜欢。
september077,8.2,2018-6-25 18:02:14,看到这票房560万，心里一紧。影片质量上乘，特别是影片构图，演员们配合满分，黑色幽默拍摄手法让剧情生活化又富含浪漫主义。可是好作品往往被忽视了。
随风819,8.0,2018-6-10 17:01:29,好片
Xeon-H,8.3,2018-5-26 3:05:42,这是一个展现在一个几乎被遗弃的小镇上小人物为了生活挣扎奔波的动人故事，如此沉重的主题在导演独特的视角下显得轻松诙谐却又令人深省，只是有时候各个角色的行为很令人困惑。
夏目透,8.2,2018-5-24 9:33:22,人物刻画的丰实饱满，情节的推进紧凑扎实。极度的荒诞又极度的写实，赞~
琉璃27,8.0,2018-4-14 16:04:32,最后造出真的“钢琴”，真挺震撼的
liuyi134,8.5,2018-3-27 11:15:37,淘票票这个老片重映的活动多搞一些啊！说出来有些羞愧，朋友一直觉得我是一个非常中产阶级价值观的人，事实也是这样。我很喜欢看到这种生活在非中产环境中的、却能过着有趣的生活、说有趣有底蕴的话的人——这或许满足了我活在这种环境中的一些想象，或者说认同导演对于这部分人群生活的理想化还原/描绘。然而实际情况是否是这样，我很难去探知。脑海中持续回荡着苏联摇滚，这样的重金属农工范，或许更能被称作老炮儿一点
Hayuki,8.2,2018-2-5 23:59:30,从苏联到黑土地 从光猪五壮士到钢的琴 事实证明只有破败的工业城市环境下的黑色幽默电影 才最糙最纯 全片维度丰富 画面考究 表演张力 不愧是王千源东京国际电影节封王之作 也展示了人穷志不穷的气场
茅豆儿sunny,8.0,2018-1-4 21:49:13,很玩味的一部电影，有情怀有致敬。带着浓浓的苏式背景乐，搭上新奇的拍摄方式和演员精湛的表演合成这么一步口碑式电影，就算过了很多年回看依然很有味道。
天凌Mtime,8.7,2018-1-3 21:02:07,非常喜欢，真的非常喜欢。把东北老工业基地转型期题材与黑色幽默结合的非常棒。前苏联的音乐以及卡拉OK中的《怀念战友》也一次次的把我带入了那个他们如此怀念的燃情岁月。感谢资料馆，让我能在大荧幕上看到这部好电影，不留遗憾。
黍芹,8.1,2018-1-1 21:44:39,《钢的琴》：以克制的情绪和风格化的语言讲述了一段小人物在时代洪流与无奈生活中的抗争与和解，画面色调与氛围同我记忆中的肃杀的北方冬天几乎一样，张导很有想法，许多镜头都颇值得玩味（比如王千源与前妻在废弃旧车站前的对话），故事架构上缺少了些戏剧冲突，情感张力似乎不足，但并不影响叙事与表达，表演也是大大的加分项，秦海璐给这部粗粝的男人戏平增许多温暖与热情。/家
羊点,9.0,2017-11-16 22:18:05,黑色幽默风格，看得人笑中有泪，但同时又很浪漫。
yoh,6.3,2017-10-1 12:41:07,时代变迁的故事，接地气。
蒂姆波顿的男主角迷,6.0,2017-8-26 12:16:19,琴曲配的好尴尬。。。
NYZP,7.3,2017-7-18 16:59:42,听说是2015年度十佳好片影片，就下载看了，是挺不错，不过如果好要去电影院看的话，又不舍得，说白了就是觉得不吸引，但是在家看的话，又觉得好看
wakan,9.0,2017-6-28 9:17:46,如果这帮人都红透半边天了，还能不能演出这种味道
空晨GC,7.7,2017-6-13 20:49:52,平凡的百姓不平凡的电影 满满的时代感 但对于没有经历过那些变迁的年轻人还是难以产生共鸣
南山竹子,7.0,2017-5-29 14:05:10,虽然造台刚琴为了留住女儿这个理由挺牵强的，胜在演技相当不错，剧情也好玩
Chrischuang,8.0,2017-5-24 8:53:16,的确蛮好看的，笑点在前，泪点在后，演员的爆发力也很不错，只是那段历史不堪回首
阿森纳颓风,6.6,2017-5-23 16:15:29,看的是1小时41分钟的版本，不知道有没有有看过119分钟的？我的观感就是和众多国高分作品一样，看似正常的故事，其中各种不懂的镜头的内容，对我来说也真是有够装的了！
血腥瑪利亞,7.9,2017-5-18 0:00:26,好看。
钢牙1989,8.0,2017-4-26 8:03:08,东北下岗浪潮的背景下发生的故事
AlecSun,7.0,2017-4-4 0:27:42,记得2年前网上推荐看了半个小时没看出名堂放弃了，今天有机会看完还是颇有感触，在厂矿长大的孩子应该很有情节，时代在变化唯一不变的是情感，这也是整部电影的精髓，导演的黑色幽默加上王千源和秦海璐的表演都很不错，只是感觉被捧得过高，片是好片但没有让我回味无穷。
半城炊烟,10,2017-3-16 17:18:45,非常奇特的一部电影，小人物的喜怒哀乐，大时代的逝去，让人感慨万千，各种小幽默也能让人笑中带泪。王千源雪中弹琴的镜头太奇幻，又美又有喜感。好看。
无夜路人,8.0,2017-3-12 0:56:04,国产好片，但是感觉画面还是太程序化了一点
无人用电锯,5.0,2017-1-18 11:56:31,可能是我理解不了，感受不到。觉得一般5分。
yidazhang,8.0,2017-1-10 19:52:18,很东北。
路见很平,8.5,2016-12-26 0:39:28,把现实主义注入了浪漫主义的精髓，可惜当年没能在影院支持
流星学海,8.0,2016-12-14 22:20:54,东北下岗工人的悲凉！
愚子,8.0,2016-12-2 15:20:40,有的人说这是一部关于父爱的电影，在我看来，这与父爱无关。在一片破败萧条的景象里，一群生活在社会边缘的中年人，收入不高，事儿不多，就这么不痛不痒地活着。那架横空出世的钢琴，最终做得怎么样其实并不重要，正如男主角说的，大家走到一块，一起做个事多好啊。生活不一定每时每刻都有深刻的意义，对于有些人，生活的意义就是：做自己想做的事，哪怕那个事看上去无比荒谬。那架钢做的琴，代表着这些人曾经追寻过的理想，也是那片废墟上升起的新希望
午后的早餐,8.0,2016-11-13 21:22:20,一首美丽的小诗
小昀,9.0,2016-11-10 11:58:09,不知怎么的，就是感觉百看不厌
真乱,9.0,2016-11-10 0:17:23,东北人都该看看
真乱,9.0,2016-11-10 0:14:17,建议东北人都看看
我叫钢蹦儿,9.0,2016-10-12 19:23:56,镜头给的太好了。
冬至,,2016-10-3 6:34:58,#电影时光2016#又过了一遍，还是辛酸。无力的挣扎和执着的意志，在衰败的时代中创造着只属于自己的奇迹。
寂寥一生,7.5,2016-9-16 16:19:39,工业时代工人的换歌！
岸然小贩,8.0,2016-9-15 7:36:31,有一种韦斯安德森的感觉，还有点黑色幽默
WPY15635,7.8,2016-8-20 22:42:09,毕竟当年最佳国产片之一
独自哥哥,,2016-7-22 22:53:14,http://murl.tv/h1pl
激情山丘,6.8,2016-7-17 9:21:24,工厂里的艺术家
MrRob0t,8.2,2016-7-9 19:04:38,作为“东北三部曲”的中篇，张猛在这部作品中延续了其独特的黑色幽默和苏联情结，以下岗工人为争夺女儿抚养权而兴师动众亲自打造钢琴为故事主线，讲述了时代变迁的当口小人物的悲喜哀乐。工业旧时代的阴沉色调，平移的镜头运动以及出彩的群像构图很好地完成了对那个透着一股萧索味道的特殊年代的追忆--高耸的废弃烟囱，深情激昂的苏联老歌，锈迹斑驳的厂房，“四处流窜”的下岗工人及其被社会变革所埋没的文艺梦，共同呈现了那个年代的社会群像。
Esidora,8.0,2016-7-1 1:33:51,这是一个大时代下被抛弃的一群人的悲歌，以父母孩子的故事角度来阐述，特别无邪也特别残酷。
神的孩子都舞蹈,8.3,2016-6-27 22:24:50,这电影是中国大陆少有的以小人物为主的，剧情很平凡但是感觉父爱又很伟大。王千源在里面演技真不错，当然秦海璐也很好。许多台词充满着东北地区的口音与本土的黑色幽默。喜欢这片的摄影，当然更加喜欢这的配乐。父亲的爱可能就是对子女的默默付出。
神的孩子都舞蹈,8.3,2016-6-27 22:21:08,这电影是中国大陆少有的以小人物为主的，剧情很平凡但是感觉父爱又很伟大。王千源在里面演技真不错，当然秦海璐也很好。许多台词充满着东北地区的口音与本土的黑色幽默。喜欢这片的摄影，当然更加喜欢这的配乐。父亲的爱可能就是对子女的默默付出。
柠檬时钟,9.0,2016-6-7 23:25:51,老工厂时代的记忆，烟囱终究要倒下，如磐石般观看爆破的人们的生活还要继续。全篇运用了很多人物偏置和三角构图，布光清沥，不显浑浊，音乐是钢琴配上手风琴，苏联风味浓郁。
Stephen_Chow,7.0,2016-5-18 22:38:24,中等水平，不知该怎么评价。
太子巴德,8.0,2016-5-15 21:10:48,这个色调真是不错
sTAnLEy,6.1,2016-4-24 19:55:08,快看完了还是不觉得好看。。可能是我看不懂吧。。。
好弗狼,8.1,2016-4-24 16:55:57,琴虽刚冷，情却甚深。
半袖,8.5,2016-3-14 22:43:14,漂亮一记黑色幽默，各种飙戏，秦海璐好棒。音乐布景也要表扬。20151228
莹莹酱123456,7.0,2016-3-9 10:41:48,看了两遍，故事很平时，但每次看的时候都会忍不住一直盯着看。
parrymissyou,8.0,2016-2-28 21:30:59,【Recom. by 馨】年代说，我让你们无所事事地生活，是让你们创造美好。
bovey,7.4,2016-2-16 19:12:45,为了看王千源来的，刚开始后面有个现代的楼房漏了，别的还行，无论是风格、故事还是影片描述的这个“劲儿”，
bovey,7.4,2016-2-16 14:50:06,未评分
ora2689087,8.0,2016-1-26 17:13:48,中国片里，我目前最喜欢这部
龍飛,8.0,2016-1-12 0:22:44,一部好的电影看得比较晚了些。从中体现出一个不善言表或没有过多语言表达的父亲对女儿的爱，也是所有父母对孩子其中一种爱的体现；为了朋友的一个愿望大家共同协助去实现，这种友谊也是难能可贵的……
TIBER,,2015-12-15 22:19:54,好电影，好导演，好演员
Fairy粒,8.8,2015-11-26 16:34:28,风格超酷的好吗！
周芷若4681000,9.0,2015-11-26 3:48:23,我喜欢的王千源主演的，第一遍看没看懂，第二遍看得好难过
pirate_cat,8.0,2015-11-19 23:03:29,世界上最【重】的钢琴
Luna_星,8.0,2015-11-16 13:51:50,味道怪怪的片子，尤其是俄语的歌曲？东北设定好有趣，是我不太理解的年代感吧，不怎么共鸣。。。  虽然有点不知道怎么理解，也能感受到十足用心的作品，充满了不如意也坚韧的生活着。
闹e闹,7.6,2015-11-15 15:20:26,"看了吴晓波的书有推荐这部片, 便找来看, 真的不错, 真实得反映了当时国企一刀切改革, 工人措手不及得下岗"
陈大印,8.0,2015-10-30 20:13:00,大概是因为在东北上学，所以对电影中的场景和人物性格感觉特别亲切，但是评价起来眼光大概自然会挑剔一些，但是这部电影依旧可是说得上细致认真，这才是真正喜欢电影、想拍好电影的爱电影的人的诚意！后来还和朋友们就这部电影讨论了东北工业的过去与未来，很值得思考。
