半碗馄饨,8,2019/3/18 8:20,转眼已是30年，突然在这天刚在网上看完30周年的专题朋友又说前两天才看完，回家有些安耐不住，跟老婆一起重温了这部老电影，坐在沙发上看一部30年前的电影，我都觉得自己跟着电影一起变老了，感动也分不清是为了电影情节还是为了周润发或者是在为自己的青春感动。
曼陀花语,8.7,2019/3/16 15:41,记得小时候看的时候哭的稀里哗啦的，从那以后就开始喜欢那样不羁的浪子...
芥末味爆米花,9,2019/3/16 10:35,男主年轻妻子怀孕时他出轨并不以为然，妻子愤然离去十年后男主带着儿子在工地上打工艰难度日，当妻子原谅他全家终于可以团圆时，对于男主犯的错上天并没有宽恕他！
崔汀,8,2019/3/16 0:30,感人至深
寒武,5,2018/12/23 16:36,又一个听过无数遍的著名电影，一般。
SuperCat,8.1,2018/12/20 22:00,单单音乐就是永远的经典了
李比廉姆,8.6,2018/10/31 10:08,浪子回头常常不是故事的开始，而是结局。
Optimusprime,8.2,2018/10/20 16:18,好故事加好音乐，小演员演的也极好，都不像在表演，看的老泪又纵横了
最美的记忆933722,8.2,2018/7/20 15:59,浪子回头，父子情深。
wkxclvt,8.1,2018/4/15 23:26,杜琪峰欠我们一个美好的结局
coleling,8,2018/4/2 0:16,最后阿郎倒地，《你的样子》歌声一起时，眼泪不由自主的就流下来了。
王奋斗,7,2018/2/2 20:05,小演员黄坤玄非常抢戏，大约是本片的最大看点。罗大佑的音乐，很好。除了这两点，本片的故事、表演各方面都很平常。
summertracy,9,2018/1/7 13:46,发哥的电影都是必看的。
woniu2048,8,2017/12/23 22:55,周润发饰演的阿郎风头几乎被“波仔”黄坤玄所掩盖，除了恰到火候的表演之外，剧本对亲情描写之细腻倒是很不“杜琪峰”的，很多的细节如此朴素而真挚，产生深刻的触动。《你的样子》很不错，可惜剪辑没有配合好。
九先,8.7,2017/8/30 23:56,未评分
Sep-77,8.2,2017/8/10 15:17,一首恋曲1990，打动无数人心！
