八爪,8.0,2019-3-26 23:32:15,小时候没完整看过系列，当时觉得有点迷幻和情色，甚至有些邪典。都说温故而知新，重看粤语版，依然是还那个感觉。不过这确实是徐克的巅峰之作，那种挥之不去的意识形态才是本片最强的武器。时至今日除了画质，一切都不过时！
wonka,9.0,2019-2-13 19:54:40,还记得是小时候在大礼堂看得，小时候么，懵懵懂懂的，记得这俩扭屁股走得那段，太逗了~
Hayuki,7.7,2019-1-13 15:39:41,此作之典 一在通过音乐和布景塑造的具有中国传统戏剧舞台之美的氛围 二在突破旧作白蛇贪念情欲的主题 转向寻求什么是人的意义 是人就是有情有欲 无论是人的贪 修道者的念 妖的欲 皆是人 此亦是众生 众生皆为人
Darknight,7.6,2018-12-3 11:26:28,人间不值得，回味无穷。
银月之魂,8.0,2018-11-29 23:21:29,徐克文艺风达到巅峰的一部。
SkiingInDesert,8.0,2018-11-25 3:55:56,经典回忆～真是太妖艳了
影神,9.5,2018-11-13 0:45:36,是人有情妖更有情，也是法海情欲意向化的展现。20多年后再看，体会到了本片的真相。
hzsimonlin,8.6,2018-11-9 11:31:18,25年后重看，越发难以忘怀，，跟有情人做快乐事，别问是劫是缘。。
阿森纳颓风,7.4,2018-11-1 18:14:56,小时候把这个当奇幻片看的，还用录像带录过电视上演的！现在看来有情有欲，还有很多不懂，不简单，有内涵！
柒色,8.4,2018-10-14 20:58:10,此片妖气太重了！
林子祥,8.1,2018-9-10 21:49:55,电影内核探寻的是一个情字，注入了导演对人妖佛感情的特殊理解，而但从电影本身来说，徐克对布景和颜色的运用在本片完美的呈现，从第一幕开始就像仙境般的镜头感，而两位女神级的演员，也奉献了无与伦比的表演
龍飛,8.0,2018-9-2 23:49:11,人性的贪婪和某些潜藏在心灵深处的无限欲望显露无遗
THESECRETGARDEN,8.2,2018-7-27 21:46:24,王祖贤和张曼玉真美，赵文卓真帅
大水,9.1,2018-7-25 14:14:53,"太经典的电影，太经典的张曼玉和王祖贤，太经典的法海。每看一次，就多了点感触。原来，青蛇这么爱姐姐；白蛇眼看着老实人的背叛，却无可奈何；原来法海的欲望这么强烈；原来，佛法是这么近却这么难；原来，小青终于独自的返回了紫竹林。滚滚红尘，我们来过这一遭，人生如此, 浮生如斯, 缘生缘死, 谁知,谁知? 情终情始, 情真情痴, 何许?何处? 情之至!"
jensenyg,8.1,2018-7-5 0:04:25,影片风景秀丽而又妖气弥漫，两大女星展现出无与伦比的魅力，改编的剧情曲折离奇，每个人物都有复杂的情感，这片就是香港奇幻片的巅峰。
风动浮云,8.0,2018-6-11 6:43:35,美丽与丑陋同行，迷惘与欲望同生。复杂的思考，深刻的印象，必须承认这是部神作
半城炊烟,10,2018-5-13 13:51:05,两大女演员让这部电影充满了无可言语的魅力。
天天感冒,8.0,2018-4-28 22:48:47,媚到不行了的两条蛇！几个OST也超好听，陈树桦的声音干净到如同天籁，听着浑身舒坦！
最美的记忆933722,8.1,2017-12-26 21:58:47,张曼玉的表演俏皮可爱，让人难忘。故事虽然我们已经很熟悉了，但是这部电影却也没有落于俗套。
青山黛水长流,10,2017-12-20 23:55:16,无与伦比的魅力，美丽转瞬即逝，而魅力确实由内而外的。太惊艳了，每一个角色的复杂人性和情感
光雾尘,,2017-12-16 0:58:14,说实话，我对赵雅芝演的白蛇从来都不太感冒，而第一次看到王祖贤的白蛇那一瞬间。。。彻底被俘虏了。。
不饿Ka,8.2,2017-10-23 16:48:59,电影的角度很清奇，张曼玉、王祖贤真心女神。Ps：我的电影时长只有95分钟。
Neo·Destin,8.5,2017-10-22 0:49:59,人情世故、四大皆空只是人的观念
山鬼光影,7.0,2017-10-18 12:10:19,人与妖究竟要如何区分？徐老怪保持了李碧华原著的奇情诡丽，又剔除了纷杂的一部分线索。白蛇的死加强了故事的悲剧性，某些程度上比原著好看些。只人物心理部分就要观者自己体会了。 ​​​​
nanako-chan,10,2017-10-15 10:20:35,最近才看了完整版，只能说这确实是一部有内涵的电影。。超级喜欢张曼玉的表演。
七七家d猫猫,8.0,2017-9-15 11:15:13,问世间情为何物，人人都在探索，却人人都在困惑；在欲望之中浮浮沉沉，纸醉金迷、善恶不分、人妖不分，乃至于迷失了自我；人人笑我太疯癫，我笑人看不开，熟知真正看透人世间真相的却是修行不够的青蛇？耳熟能详的故事却诠释出了耳目一新的奥义，结局的扪心自问更是拍案叫绝，朦胧而暧昧，风月尽显。
Jim·k,8.3,2017-8-30 15:08:49,无论是配乐，演员，还是故事，都是很给力！小时候看的时候就觉得王祖贤和张曼玉太美了！这次重温才发现电影里隐藏了不少的哲理！经典！
午后的早餐,8.0,2017-8-12 10:49:30,如痴如醉，如梦如幻，人生如此，浮生如斯，缘生缘死，当如青蛇
Stephen_Chow,8.0,2017-7-25 16:17:35,我还是觉得不要过度解读剧情，看到什么就是什么。张曼玉和王祖贤的颜值和表演到达巅峰，再加上徐克对光影和画面的调教，美不胜收。只是可惜限于当时的低画质和特效，画面略打折扣。不敢想象，如果有现在的高分辨率和特效，画面会美成什么样。
Anastasia蟹,8.0,2017-7-4 22:39:10,小时候没看懂
washighton,7.1,2017-7-1 18:21:05,特效实在是
社上君,,2017-4-17 23:51:32,每个人都试图改变命运，不惜牺牲自我，以换取他人的未来。摒弃了不巧不成书的天注定，每个主人公一个又一个的选择，推动着剧情向前发展。这样的故事，会是一部好电影。
丸剑痕,8.0,2017-3-13 13:35:16,樂曲淒怨、色彩濃烈，意境和神韻俱佳。徐克的想象力如水漫金山快要溢出屏幕，人妖佛三界的倫理紛爭亦適用於現代人的哲思。
蝙蝠俠,8.0,2017-2-21 19:19:44,确实是经典，很多镜头都没法忘记，现在看制作稍显粗糙，结尾把整个影片升华了。
如今唯有回音,,2017-2-2 22:44:44,我到人世来，被世人所误， 都说人间有情，但是情为何物？
王奋斗,6.0,2017-1-19 16:47:37,在医疗器械专科学校看。摄影还不错，故事没搞太懂。后来再看时，被黄沾的音乐感染。
頭面人物,9.5,2016-12-25 22:38:25,人间有情有欲，红尘美好，妖亦向往，佛亦动容。情能立于天地，能串联四界，能混淆法学。张曼玉、王祖贤的妖艳美到超然，撩拨众生，当年的赵文卓也是英气勃发。动作、场景、美术都恰到韵味，配乐堪称完美，古韵丝竹之声妙绝毫颠，恐难再闻。徐克的《青蛇》堪称传世经典，立意之深解读无限。
頭面人物,9.5,2016-12-25 22:37:48,人间有情有欲，红尘美好，妖亦向往，佛亦动容。情能立于天地，能串联四界，能混淆法学。张曼玉、王祖贤的妖艳美到超然，撩拨众生，当年的赵文卓也是英气勃发。动作、场景、美术都恰到韵味，配乐堪称完美，古韵丝竹之声妙绝毫颠，恐难再闻。徐克的《青蛇》堪称传世经典，立意之深解读无限。
