MagicWinds,9.0,2017-11-16 10:26:42,见长评。2011.04.03
Luna_星,8.0,2017-10-12 13:50:25,无法集中精力，通过音乐去体验和感受人生的早熟的孩子，对待事物有自己的认知，很特别，尝试去了解一个人。 7岁与17岁，不间断的音乐人生。
虾子的懒懒生活,7.0,2015-10-3 22:32:51,一个弹琴比较厉害的孩子的成长经历。
枫止渊,8.0,2015-3-23 12:45:37,本来在找CNEX的片子看，无意中看到这部，点开几分钟本打算关掉了，然后帅帅的黄家正露脸了，果断看完。从此，我多了一个男神。他在片中提及的一个问题，关于人生，关于意义，我也不知道答案，但却没有勇气去追寻。“这是我一生学得最多的，通过离婚，不论医生还是音乐家，背叛妻子，不尊重亲人，推卸责任，都是不对的。”这段话我深有感触。
bay135,8.5,2015-2-19 18:44:59,我噻。。我觉得完全是男主黄家正才让这部纪录片这么好看的。。看完以后觉得会乐器太帅气了！
feeling,8.0,2014-12-16 23:21:31,总觉得早慧的孩子都不大可爱，黄家正也同理。11岁已谈为人、生死令人吃惊，17岁念念不忘human being，有点人前的傲与独。我感觉他现实里应该人缘不好。父子一段最有味道，影片的意境终于出来了，那个突然哭起来的孩子有他说不出来的寂寞。
OKBEN特煩惱,,2014-5-14 14:27:25,"非常值得一看的紀錄片,人.哲學.音樂"
AmadeusLee,7.0,2013-12-26 23:24:18,还不错的纪录片。
千张纸,9.0,2013-9-4 22:46:03,我深深地喜欢这个特立独行永远坚持自我，真正追求艺术始终追求成为一个“人”的孩子，即使那么多人都不喜欢他，我依然喜欢着这个孤独天才黄家正。虽然有些画面还显得很有瑕疵，但是因为黄家正的存在，一切都熠熠生辉。
王大乐乐,9.0,2013-8-19 18:16:37,天才的责任和负担。最近几年看过最好的纪录片
cbxcbx,8.6,2013-4-14 18:09:56,这才是艺术家！
电影人Rachel,9.0,2013-4-6 14:33:32,人不轻狂枉少年，轻狂又怎么了，再说人家有资本！从11岁到17岁的音乐人生，纪录片的魅力正于此。从对音乐纯粹的执着到对人生家庭和社会的思索，真正的音乐天才！最后想说，这种出自精英男学院的音乐才子实在太有魅力了
yanviola,8.0,2013-1-25 13:14:39,看过就会爱上黄家正的影片。尽管他孤高轻狂，但很真实，啊，天才原来就是这个样子的！
看客,10,2013-1-6 20:38:52,我想说这是我看过的最好的讲音乐人的片子了，深深的被黄家正的魅力折服
冰宗释,8.5,2012-12-31 14:53:38,“为什么要有人？”“为什么要生存？”“如果每个人都懂音乐，世界就完美了。”他比烟花寂寞，他比上帝疯狂......
观月,7.0,2012-11-1 13:17:28,听着半粤语半英语的音乐青年诉说人生，很有feeling啊，听着我只想成为一个human being很逗乐
Sylvanana,9.0,2012-6-9 6:37:21,故事讲述一个天才音乐家的生活一面，揭露出这个人如何被家庭教育、社会教育和学校教育所引导成为一名“音乐神童”。故事最妙的地方是结尾回到12岁，家正的痛哭。一个看似温暖，实则冷漠的家庭，千千万万80后、90后的社会悲剧。
馬鹿野郎大宇軒,8.0,2012-5-17 22:13:31,这是一堂哲学课。
玩意er女青年,8.0,2012-4-23 21:56:01,成长的思考和彷徨
RieVII,8.3,2012-3-29 22:48:01,十分有技巧的纪录片，特别是叙事娴熟而新颖，顺带爱上了黄家正，不满最后把古典乐剪碎了
有泪尽情流,9.0,2012-3-6 10:28:46,纪录片最有意思的地方在于能够记录时间。
多少,7.8,2012-2-17 17:29:42,讲了一个音乐天才对人的思考。
卡特宫,10,2012-1-27 1:12:51,无法言说的悲痛，张爱玲那句被说烂的话终于找到唯一何时的对象来说
永远ies,8.6,2012-1-19 22:25:13,11岁和17岁，捷克和香港，交错的时空，反复互相映照，黄家正对自己真正追求的东西，清清楚楚。
失落部落,,2012-1-4 16:50:47,或许有许多矛盾的观点集中在他身上，却正好证明了他自己所说的，他仍然在寻求答案。无论他取得了多么崇高的成就，无论世人怎么看待他，以及他怎么看待这个世界，以及身边的人，他只知道，自己的终极追求就是成为一个“人”。有人性，有良知。这让他并不快乐，但很充盈。
失落部落,,2012-1-4 16:50:30,黄家正，一个在钢琴键盘上跳舞的音乐天才和神童，却更是一名透视人生的哲学大师和智者。我无法想象，一个七岁的孩子开始思考人生和死亡，科学和神学。他骄傲，但从来不意味自己自负，他不断地带领乐团获得成功，却从来没有在乎过冠军，他个性十足，却又从来不满意自己的个性。即使是饱经沧桑的成人，或许也无法读懂他的内心，和他的音乐造诣一样，他的人生领悟远在常人之上。
电视机,6.0,2011-12-14 20:47:41,如果把这部纪录片的时间跨度再延长二十年，说不定会成为一部经典之作，因为不管怎样说一个十七岁的小盆友是不大可能有什么深刻的人生智慧的，好似片中黄家正不断的提出问题，把问题都抛给了观众，而电影也没有给出解释。
charlotteLau,9.0,2011-12-4 8:57:30,很欣赏这个男生的想法
公元1874,9.0,2011-11-27 22:02:13,花七年时间拍一部纪录片，态度值得尊敬。故事讲述一个天才音乐家的生活一面，揭露出这个人如何被家庭教育、社会教育和学校教育所引导成为一名“音乐神童”。故事最妙的地方是结尾回到12岁，家正的痛哭。一个看似温暖，实则冷漠的家庭，千千万万80后、90后的社会悲剧。伟大的纪录片。
易捷,6.0,2011-11-23 10:47:50,大部分时间我看到的是一个自大狂，自恋狂。也许天才都是这样吧。
每天都是毕业日,6.6,2011-11-14 14:08:01,其实我觉得综合评分大概7.2不过不知道为啥分项综合才6.6，我觉得家正很有思想，不过这类人在学校就是极品。粤语好亲切
